__ym,orders,rev,gp_raw,gp_imputed,AOV,margin_raw%,margin_imputed%
2025-03,1180,626168,176874,185988.0,530.65,28.25,29.7
2025-04,1008,604369,148880,159370.0,599.57,24.63,26.37
2025-05,1326,600148,131136,141496.0,452.6,21.85,23.58
2025-06,1350,602278,135426,144247.0,446.13,22.49,23.95
2025-07,1800,663749,169284,182081.0,368.75,25.5,27.43
2025-08,1409,559122,138658,149125.0,396.82,24.8,26.67
2025-09,1419,560257,141509,148571.0,394.83,25.26,26.52
2025-10,1537,589054,148033,157543.0,383.25,25.13,26.75
2025-11,1961,864815,175133,188157.0,441.01,20.25,21.76
2025-12,1294,613649,124051,132099.0,474.23,20.22,21.53
2026-01,874,446993,99703,104998.0,511.43,22.31,23.49
2026-02,943,490018,115497,119227.0,519.64,23.57,24.33
2026-03,979,529881,134519,140764.0,541.25,25.39,26.57
2026-04,579,301861,84343,86043.0,521.35,27.94,28.5
