__ym,orders,refunded_orders,rev_gross,rev_refunded,gp_gross,gp_refunded,refund_rate_count%,refund_rate_rev%,net_rev,net_gp,net_margin%
2025-03,1180,85,626168,32909,185988.0,8810.0,7.2,5.26,593259,177178.0,29.87
2025-04,1008,73,604369,40221,159370.0,10371.0,7.24,6.66,564148,148999.0,26.41
2025-05,1326,129,600148,40110,141496.0,10360.0,9.73,6.68,560038,131136.0,23.42
2025-06,1350,89,602278,34792,144247.0,8739.0,6.59,5.78,567486,135508.0,23.88
2025-07,1800,132,663749,50153,182081.0,12797.0,7.33,7.56,613596,169284.0,27.59
2025-08,1409,115,559122,40328,149125.0,10467.0,8.16,7.21,518794,138658.0,26.73
2025-09,1419,115,560257,31010,148571.0,7062.0,8.1,5.53,529247,141509.0,26.74
2025-10,1537,103,589054,38572,157543.0,9351.0,6.7,6.55,550482,148192.0,26.92
2025-11,1961,107,864815,47539,188157.0,12822.0,5.46,5.5,817276,175335.0,21.45
2025-12,1294,77,613649,31946,132099.0,7981.0,5.95,5.21,581703,124118.0,21.34
2026-01,874,46,446993,21016,104998.0,5198.0,5.26,4.7,425977,99800.0,23.43
2026-02,943,33,490018,15872,119227.0,3730.0,3.5,3.24,474146,115497.0,24.36
2026-03,979,36,529881,23959,140764.0,6245.0,3.68,4.52,505922,134519.0,26.59
2026-04,579,11,301861,7216,86043.0,1700.0,1.9,2.39,294645,84343.0,28.63
