__ym,web_orders,store_orders,total_orders,web_rev,store_rev,total_rev,total_gp,margin%,total_refund,net_rev
2025-03,1180,298,1478,626168,159335,785503,227832.69293100352,29.0,45186,740317
2025-04,1008,303,1311,604369,205081,809450,203200.50282438463,25.1,104618,704832
2025-05,1326,369,1695,600148,200314,800462,181605.90208801595,22.69,141112,659350
2025-06,1350,309,1659,602278,137140,739418,180390.27291804287,24.4,73415,666003
2025-07,1800,376,2176,663749,181255,845004,229369.2996235517,27.14,72786,772218
2025-08,1409,374,1783,559122,188469,747591,199929.3256620983,26.74,68418,679173
2025-09,1419,346,1765,560257,160993,721250,196959.39656062424,27.31,59068,662182
2025-10,1537,361,1898,589054,194845,783899,206647.34189619505,26.36,53513,730386
2025-11,1961,309,2270,864815,180336,1045151,230345.48561242377,22.04,51775,993376
2025-12,1294,355,1649,613649,173879,787528,171276.89989529733,21.75,41481,746047
2026-01,874,312,1186,446993,163823,610816,151504.38291305723,24.8,29528,581288
2026-02,943,261,1204,490018,138577,628595,154058.99906135176,24.51,20118,608477
2026-03,979,313,1292,529881,174755,704636,190875.85786222032,27.09,28176,676460
2026-04,579,236,815,301861,121966,423827,127657.29171249636,30.12,15267,408560
