Week,Branded,Clicks,Impressions,CTR,Position
2025|17,(unknown),1346,257570,0.0052,20.1789
2025|17,branded,258,2504,0.103,8.3974
2025|17,non-branded,1589,403810,0.0039,15.712
2025|18,(unknown),2386,475494,0.005,20.8126
2025|18,branded,509,4471,0.1138,9.187
2025|18,non-branded,2830,709860,0.004,15.6056
2025|19,(unknown),2371,488293,0.0049,21.983
2025|19,branded,408,3918,0.1041,9.0674
2025|19,non-branded,2817,676024,0.0042,16.1963
2025|20,(unknown),2306,498788,0.0046,22.784
2025|20,branded,384,4339,0.0885,9.9765
2025|20,non-branded,2703,603956,0.0045,16.9918
2025|21,(unknown),2111,449212,0.0047,22.3275
2025|21,branded,386,4210,0.0917,9.9976
2025|21,non-branded,2478,660887,0.0037,16.8274
2025|22,(unknown),2336,550617,0.0042,26.4979
2025|22,branded,437,4574,0.0955,10.6119
2025|22,non-branded,2773,752609,0.0037,18.0616
2025|23,(unknown),2194,561836,0.0039,24.3095
2025|23,branded,415,4704,0.0882,10.7649
2025|23,non-branded,2614,801763,0.0033,17.1499
2025|24,(unknown),2137,505669,0.0042,21.7163
2025|24,branded,404,4508,0.0896,8.4164
2025|24,non-branded,2579,700781,0.0037,15.8574
2025|25,(unknown),2078,575568,0.0036,23.2748
2025|25,branded,441,4331,0.1018,8.8097
2025|25,non-branded,2413,640355,0.0038,15.6631
2025|26,(unknown),2096,512304,0.0041,24.6392
2025|26,branded,490,4575,0.1071,11.2035
2025|26,non-branded,2611,623741,0.0042,17.6794
2025|27,(unknown),1945,514451,0.0038,24.0282
2025|27,branded,382,4346,0.0879,10.9669
2025|27,non-branded,2320,553574,0.0042,17.5227
2025|28,(unknown),1625,418657,0.0039,26.0266
2025|28,branded,422,4251,0.0993,8.5107
2025|28,non-branded,1675,385924,0.0043,21.1314
2025|29,(unknown),1325,485947,0.0027,27.8617
2025|29,branded,427,3347,0.1276,7.5348
2025|29,non-branded,1343,217942,0.0062,23.6502
2025|30,(unknown),1434,662942,0.0022,28.588
2025|30,branded,661,2705,0.2444,4.2063
2025|30,non-branded,1513,72242,0.0209,21.0002
2025|31,(unknown),1508,621688,0.0024,27.4676
2025|31,branded,966,2917,0.3312,4.122
2025|31,non-branded,1565,81439,0.0192,19.5447
2025|32,(unknown),1463,689561,0.0021,25.7506
2025|32,branded,578,2666,0.2168,5.165
2025|32,non-branded,1932,98416,0.0196,18.5914
2025|33,(unknown),1609,746599,0.0022,24.4502
2025|33,branded,621,2636,0.2356,4.5459
2025|33,non-branded,1916,112705,0.017,18.1412
2025|34,(unknown),1652,679385,0.0024,20.3861
2025|34,branded,398,2078,0.1915,4.321
2025|34,non-branded,1987,125960,0.0158,16.7491
2025|35,(unknown),1572,682480,0.0023,21.3204
2025|35,branded,480,2456,0.1954,4.805
2025|35,non-branded,2054,134266,0.0153,16.7289
2025|36,(unknown),1629,768827,0.0021,22.2216
2025|36,branded,442,2540,0.174,7.0283
2025|36,non-branded,2267,141755,0.016,16.9615
2025|37,(unknown),1991,634665,0.0031,17.0056
2025|37,branded,394,2638,0.1494,7.5788
2025|37,non-branded,2170,217013,0.01,19.148
2025|38,(unknown),1931,490578,0.0039,12.7976
2025|38,branded,420,2258,0.186,5.1528
2025|38,non-branded,2316,93770,0.0247,23.615
2025|39,(unknown),1821,438804,0.0041,12.2676
2025|39,branded,447,2343,0.1908,3.9479
2025|39,non-branded,2243,72628,0.0309,24.2936
2025|40,(unknown),1823,478880,0.0038,13.9239
2025|40,branded,356,2142,0.1662,1.8142
2025|40,non-branded,2345,35274,0.0665,14.4665
2025|41,(unknown),1976,531457,0.0037,14.0029
2025|41,branded,486,2234,0.2175,1.5228
2025|41,non-branded,2419,27486,0.088,9.9785
2025|42,(unknown),1888,549568,0.0034,14.7362
2025|42,branded,390,2031,0.192,1.5977
2025|42,non-branded,2433,23691,0.1027,8.5907
2025|43,(unknown),1750,492939,0.0036,15.1584
2025|43,branded,394,2125,0.1854,1.4555
2025|43,non-branded,2243,23806,0.0942,9.6936
2025|44,(unknown),1980,528222,0.0037,14.9416
2025|44,branded,365,2026,0.1802,1.5207
2025|44,non-branded,2592,25277,0.1025,8.7097
2025|45,(unknown),2498,632630,0.0039,14.3377
2025|45,branded,356,2309,0.1542,1.7951
2025|45,non-branded,3353,45340,0.074,7.6515
2025|46,(unknown),2956,761562,0.0039,16.5948
2025|46,branded,468,2724,0.1718,1.4416
2025|46,non-branded,4395,59652,0.0737,7.3948
2025|47,(unknown),2868,816925,0.0035,17.9858
2025|47,branded,449,2736,0.1641,1.5446
2025|47,non-branded,4232,76725,0.0552,7.3306
2025|48,(unknown),2757,787937,0.0035,14.549
2025|48,branded,445,2632,0.1691,1.8275
2025|48,non-branded,3442,65954,0.0522,8.4604
2025|49,(unknown),1955,622850,0.0031,14.2802
2025|49,branded,308,2030,0.1517,2.1911
2025|49,non-branded,2075,28484,0.0728,8.6166
2025|50,(unknown),1778,636594,0.0028,13.2862
2025|50,branded,342,2035,0.1681,1.7263
2025|50,non-branded,1759,23437,0.0751,9.4208
2025|51,(unknown),1895,662341,0.0029,13.6426
2025|51,branded,324,1834,0.1767,2.0829
2025|51,non-branded,1723,24913,0.0692,8.2496
2025|52,(unknown),2469,699408,0.0035,11.8994
2025|52,branded,352,2517,0.1398,2.737
2025|52,non-branded,2580,56975,0.0453,8.5844
2026|01,(unknown),1675,641837,0.0026,12.4076
2026|01,branded,282,1684,0.1675,1.6871
2026|01,non-branded,1740,38096,0.0457,8.6865
2026|02,(unknown),1699,665733,0.0026,12.6168
2026|02,branded,268,1732,0.1547,1.746
