Yearmonth,branded_vs_nonbranded,clicks,impressions,position
2025-04,(unknown),2397,459919,20.181
2025-04,branded,455,4502,8.6984
2025-04,non-branded,2824,714503,15.7052
2025-05,(unknown),10127,2169741,22.9879
2025-05,branded,1849,18824,9.7425
2025-05,non-branded,12004,2974290,16.7902
2025-06,(unknown),9113,2325313,23.8784
2025-06,branded,1889,19509,10.219
2025-06,non-branded,10985,2976219,16.7673
2025-07,(unknown),6936,2362714,27.0786
2025-07,branded,2453,15764,7.3443
2025-07,non-branded,7341,1184238,19.9926
2025-08,(unknown),6921,3059374,23.2219
2025-08,branded,2421,10937,4.6483
2025-08,non-branded,8558,507004,17.5091
2025-09,(unknown),7840,2459179,16.7523
2025-09,branded,1822,10476,5.7692
2025-09,non-branded,9620,539415,20.1184
2025-10,(unknown),8324,2285514,14.6218
2025-10,branded,1783,9255,1.5241
2025-10,non-branded,10622,110953,9.3713
2025-11,(unknown),11704,3168301,15.8955
2025-11,branded,1807,11007,1.6354
2025-11,non-branded,16208,258003,7.7287
2025-12,(unknown),8814,2905060,13.1552
2025-12,branded,1432,9100,2.1874
2025-12,non-branded,8859,145486,8.6826
2026-01,(unknown),8214,3202988,13.2487
2026-01,branded,1329,7828,1.8781
2026-01,non-branded,7812,138341,8.4477
2026-02,(unknown),8242,3188106,12.7274
2026-02,branded,1170,7319,1.9415
2026-02,non-branded,7131,120965,7.355
2026-03,(unknown),10572,5213849,11.6958
2026-03,branded,1092,7726,2.0089
2026-03,non-branded,11009,427925,6.2079
2026-04,(unknown),8221,4722370,11.5891
2026-04,branded,892,5598,1.865
2026-04,non-branded,8792,513895,5.2684
