query,branded,clicks,impressions,position
phonebot,branded,878,5237,1.325
refurbished iphone,non-branded,330,6448,12.1203
phonebot reservoir,branded,307,663,1.0528
refurbished iphones,non-branded,232,2742,8.7068
phone bot,branded,218,1756,2.6236
refurbished ipad,non-branded,199,3461,14.6273
iphone refurbished,non-branded,118,1363,9.1533
phonebot australia,branded,103,476,1.0168
ipad refurbished,non-branded,87,781,14.5314
cheap iphones,non-branded,86,2381,6.3721
ipad tablet refurbished,non-branded,86,300,14.2733
cheap iphone,non-branded,76,2627,4.2307
refurbished iphone australia,non-branded,57,1823,10.4542
refurbished phones,non-branded,57,4599,13.6084
refurbished iphone 14,non-branded,55,605,12.3372
oppo mu samsung mu,non-branded,54,242,2.7851
refurbished samsung phones,non-branded,53,1262,14.7211
iphone 17 air price in australia,non-branded,50,3674,5.6628
iphone 16 pro vs 17 air,non-branded,49,461,8.1085
apple refurbished,non-branded,48,1269,7.3459
iphone 14 pro refurbished,non-branded,47,197,20.1168
iphone 17,non-branded,47,91906,12.8065
phonebot melbourne,branded,45,246,1
ipad sale,non-branded,41,2887,9.5275
iphone 17 air vs 16 pro,non-branded,41,643,8.717
refurbished ipads,non-branded,41,240,27.8167
refurbished phone,non-branded,40,943,18.8834
ipad for sale,non-branded,38,1530,13.7634
ipad refurbished australia,non-branded,37,108,14.5833
refurbished ipads australia,non-branded,34,101,17.396
iphone air vs 16 pro,non-branded,32,797,8.9285
refurbished phones australia,non-branded,32,439,11.4351
iphone 13 price in australia,non-branded,31,2518,7.4801
oppo vs samsung,non-branded,31,1303,6.3016
mobile phones,non-branded,30,518,32.3089
iphone 15 pro refurbished,non-branded,29,161,16.6522
secondhand iphone,non-branded,29,147,10.8844
phonebot discount code,branded,28,85,1.0941
refurbished iphone in australia,non-branded,28,171,10.9942
iphone 17 air vs iphone 16 pro,non-branded,27,831,7.3755
which iphone is best value for money,non-branded,27,696,10.523
iphone 11 price in australia,non-branded,25,1095,4.9525
phonebot refurbished ipad,branded,24,40,1
samsung refurbished phones,non-branded,24,406,12.8177
airpods,non-branded,23,1713,18.8722
cheap iphones for sale,non-branded,23,763,5.0891
iphone 12 price in australia,non-branded,23,973,6.3083
skyphonez,non-branded,23,533,6.2514
best phone under 500 aud,non-branded,22,168,3.5774
cheap ipad,non-branded,22,1423,6.5018
refurb phone,non-branded,22,60,11.2167
17 air vs 16 pro,non-branded,21,194,7.1495
phonebot coupon code,branded,21,45,1
phonebot refurbished ipad pro,branded,21,32,1
samsung second hand phones,non-branded,21,70,9.3143
iphone 16 pro vs iphone 17 air,non-branded,20,585,7.6496
iphone 17 air price,non-branded,20,2363,5.6534
samsung mu oppo mu,non-branded,20,104,2.375
