Date,Campaign name,Currency code,Cost,Impressions,Clicks,CTR,CPC,Conversions,All conversions,Revenue,All revenue
2026-03-26,CJ - Bing Shopping (All Products),AUD,21.28,3801,44,0.0116,0.4836,0,0,0,0
2026-03-26,CJ - Phonebot (B),AUD,3.29,65,6,0.0923,0.5483,0,0,0,0
2026-03-26,CJ - Refurbished Phones,AUD,59.97,4994,96,0.0192,0.6247,1,1,379,379
2026-03-26,Standard Shopping (Apple) - iPads,AUD,0,1,0,0,,0,0,0,0
2026-03-27,CJ - Bing Shopping (All Products),AUD,16.42,3286,41,0.0125,0.4005,1,1,964,964
2026-03-27,CJ - Phonebot (B),AUD,3.67,96,11,0.1146,0.3336,0,0,0,0
2026-03-27,CJ - Refurbished Phones,AUD,48.7,5577,87,0.0156,0.5598,0,0,0,0
2026-03-27,Standard Shopping (Apple) - iPads,AUD,0,18,0,0,,0,0,0,0
2026-03-28,CJ - Bing Shopping (All Products),AUD,10.03,2521,23,0.0091,0.4361,2,2,527,527
2026-03-28,CJ - Phonebot (B),AUD,1.81,24,7,0.2917,0.2586,0,0,0,0
2026-03-28,CJ - Refurbished Phones,AUD,47.94,3714,80,0.0215,0.5993,0,0,0,0
2026-03-28,Standard Shopping (Apple) - iPads,AUD,0.31,33,2,0.0606,0.155,0,0,0,0
2026-03-29,CJ - Bing Shopping (All Products),AUD,15.64,3170,34,0.0107,0.46,1,1,1003,1003
2026-03-29,CJ - Phonebot (B),AUD,1.73,21,5,0.2381,0.346,1,1,488,488
2026-03-29,CJ - Refurbished Phones,AUD,33.77,3241,55,0.017,0.614,0,0,0,0
2026-03-29,Standard Shopping (Apple) - iPads,AUD,0,9,0,0,,0,0,0,0
2026-03-30,CJ - Bing Shopping (All Products),AUD,30.86,5570,57,0.0102,0.5414,0,0,0,0
2026-03-30,CJ - Phonebot (B),AUD,2.5,82,10,0.122,0.25,0,0,0,0
2026-03-30,CJ - Refurbished Phones,AUD,42.99,4523,78,0.0172,0.5512,3,3,2100,2100
2026-03-30,Standard Shopping (Apple) - iPads,AUD,0,14,0,0,,0,0,0,0
2026-03-31,CJ - Bing Shopping (All Products),AUD,38.57,6093,59,0.0097,0.6537,0,0,0,0
2026-03-31,CJ - Phonebot (B),AUD,4.18,124,10,0.0806,0.418,0,0,0,0
2026-03-31,CJ - Refurbished Phones,AUD,30.96,4270,57,0.0133,0.5432,0,0,0,0
2026-03-31,Standard Shopping (Apple) - iPads,AUD,0.07,21,1,0.0476,0.07,0,0,0,0
2026-04-01,CJ - Bing Shopping (All Products),AUD,34.81,5472,58,0.0106,0.6002,1,1,249,249
2026-04-01,CJ - Phonebot (B),AUD,8.86,76,12,0.1579,0.7383,0,0,0,0
2026-04-01,CJ - Refurbished Phones,AUD,32.73,3607,59,0.0164,0.5547,0,0,0,0
2026-04-01,Standard Shopping (Apple) - iPads,AUD,0,8,0,0,,0,0,0,0
2026-04-02,CJ - Bing Shopping (All Products),AUD,20.32,3967,36,0.0091,0.5644,0,0,0,0
2026-04-02,CJ - Phonebot (B),AUD,2.24,96,8,0.0833,0.28,0,0,0,0
2026-04-02,CJ - Refurbished Phones,AUD,24.55,2941,47,0.016,0.5223,1,1,308,308
2026-04-02,Standard Shopping (Apple) - iPads,AUD,0,9,0,0,,0,0,0,0
2026-04-03,CJ - Bing Shopping (All Products),AUD,16.55,3099,34,0.011,0.4868,0,0,0,0
2026-04-03,CJ - Phonebot (B),AUD,1.55,39,7,0.1795,0.2214,1,1,529,529
2026-04-03,CJ - Refurbished Phones,AUD,25.8,3314,46,0.0139,0.5609,0,0,0,0
2026-04-03,Standard Shopping (Apple) - iPads,AUD,0,42,0,0,,0,0,0,0
2026-04-04,CJ - Bing Shopping (All Products),AUD,16.2,2884,31,0.0107,0.5226,0,0,0,0
2026-04-04,CJ - Phonebot (B),AUD,1.8,25,7,0.28,0.2571,1,1,379,379
2026-04-04,CJ - Refurbished Phones,AUD,27.84,3411,53,0.0155,0.5253,1,1,699,699
2026-04-04,Standard Shopping (Apple) - iPads,AUD,0,19,0,0,,0,0,0,0
2026-04-05,CJ - Bing Shopping (All Products),AUD,16.87,3587,46,0.0128,0.3667,0,0,0,0
2026-04-05,CJ - Phonebot (B),AUD,3.44,32,9,0.2813,0.3822,1,1,529,529
2026-04-05,CJ - Refurbished Phones,AUD,19.06,2530,36,0.0142,0.5294,0,0,0,0
2026-04-05,Standard Shopping (Apple) - iPads,AUD,0,6,0,0,,0,0,0,0
2026-04-06,CJ - Bing Shopping (All Products),AUD,22.39,6280,53,0.0084,0.4225,0,0,0,0
2026-04-06,CJ - Phonebot (B),AUD,2.05,31,7,0.2258,0.2929,0,0,0,0
2026-04-06,CJ - Refurbished Phones,AUD,24.79,2789,49,0.0176,0.5059,0,0,0,0
2026-04-06,Standard Shopping (Apple) - iPads,AUD,0,4,0,0,,0,0,0,0
2026-04-07,CJ - Bing Shopping (All Products),AUD,22.97,6804,52,0.0076,0.4417,0,0,0,0
2026-04-07,CJ - Phonebot (B),AUD,4.46,66,11,0.1667,0.4055,0,0,0,0
2026-04-07,CJ - Refurbished Phones,AUD,21.12,2967,47,0.0158,0.4494,0,0,0,0
2026-04-07,Standard Shopping (Apple) - iPads,AUD,0,6,0,0,,0,0,0,0
2026-04-08,CJ - Bing Shopping (All Products),AUD,19.06,3367,42,0.0125,0.4538,2,2,478,478
2026-04-08,CJ - Phonebot (B),AUD,7.32,50,16,0.32,0.4575,1,1,924,924
2026-04-08,CJ - Refurbished Phones,AUD,29.3,3032,56,0.0185,0.5232,0,0,0,0
2026-04-08,Standard Shopping (Apple) - iPads,AUD,0,3,0,0,,0,0,0,0
2026-04-09,CJ - Bing Shopping (All Products),AUD,40.47,5535,62,0.0112,0.6527,1,1,349,349
2026-04-09,CJ - Phonebot (B),AUD,8.01,63,14,0.2222,0.5721,0,0,0,0
2026-04-09,CJ - Refurbished Phones,AUD,26.65,2847,52,0.0183,0.5125,0,0,0,0
2026-04-10,CJ - Bing Shopping (All Products),AUD,48.12,8165,74,0.0091,0.6503,1,1,29,29
2026-04-10,CJ - Phonebot (B),AUD,8.35,49,11,0.2245,0.7591,0,0,0,0
2026-04-10,CJ - Refurbished Phones,AUD,29.14,4074,62,0.0152,0.47,1,1,399,399
2026-04-10,Standard Shopping (Apple) - iPads,AUD,0,1,0,0,,0,0,0,0
2026-04-11,CJ - Bing Shopping (All Products),AUD,10.95,2416,27,0.0112,0.4056,0,0,0,0
2026-04-11,CJ - Phonebot (B),AUD,11.77,43,9,0.2093,1.3078,1,1,249,249
2026-04-11,CJ - Refurbished Phones,AUD,30.49,2599,57,0.0219,0.5349,0,0,0,0
2026-04-11,Standard Shopping (Apple) - iPads,AUD,0,1,0,0,,0,0,0,0
2026-04-12,CJ - Bing Shopping (All Products),AUD,13.62,2255,26,0.0115,0.5238,1,1,769,769
2026-04-12,CJ - Phonebot (B),AUD,7.75,30,9,0.3,0.8611,0,0,0,0
2026-04-12,CJ - Refurbished Phones,AUD,25.32,2510,48,0.0191,0.5275,0,0,0,0
