Date,Cost,Impressions,Clicks_all,Link_clicks,Purchases,Purchase_value
2026-03-26,375.51,56221,949,664,14,9742
2026-03-27,370.34,56234,1047,676,10,4161.96
2026-03-28,404.66,55647,1050,710,6,5487
2026-03-29,343.1,54032,1068,669,7,3926
2026-03-30,319.04,49686,952,643,12,9916.99
2026-03-31,263.19,44076,920,655,11,7683
2026-04-01,272.99,46266,919,615,4,2776
2026-04-02,207.63,35590,794,488,10,3878.98
2026-04-03,245.96,40066,789,529,16,9459.98
2026-04-04,236.53,37880,895,580,10,5616
2026-04-05,232.3,40489,833,551,3,1511.98
2026-04-06,263.95,54413,875,590,10,4861.98
2026-04-07,312.76,55218,913,587,5,2463
2026-04-08,337.68,58650,979,671,15,5557.98
2026-04-09,258.27,44623,854,575,16,5498.99
2026-04-10,250.17,45050,767,505,12,8243.98
2026-04-11,206.27,37543,727,507,0,0
2026-04-12,187.32,31259,721,488,5,1937
2026-04-13,195.06,36013,821,549,6,3379
2026-04-14,196.55,33747,778,500,8,4440
2026-04-15,234.14,45429,805,522,3,1058
2026-04-16,203.75,36657,773,512,2,1993
2026-04-17,186.43,34999,719,493,14,5451
2026-04-18,190.4,36104,730,503,4,5892
2026-04-19,170.32,29120,742,572,6,3410.99
2026-04-20,183.05,32397,617,404,11,5612.98
2026-04-21,170.39,30233,703,463,5,4743.98
2026-04-22,155.01,27742,731,491,10,5603.98
2026-04-23,150.6,28524,581,362,12,6086
2026-04-24,177.66,30734,641,417,4,1175
