Channel,Sessions,Total_users,New_users,Purchases,Revenue,AddToCarts,Checkouts
Organic Search,22547,19275,18375,65,31527.91,564,375
Direct,12912,11168,10920,68,40556,319,236
Cross-network,11944,9375,8303,186,73227,956,609
Organic Social,7581,5817,5053,17,8606,322,211
Paid Search,6809,4648,3799,152,92437,696,459
Unassigned,4881,4605,1968,24,15879.18,160,130
Paid Shopping,3241,2603,2244,38,30849,231,137
Referral,3021,1877,1507,35,21994.2,181,164
Paid Social,1238,1010,762,3,1218,67,35
Organic Shopping,620,514,443,14,2371,70,44
Paid Other,60,53,48,1,600,3,8
Organic Video,11,6,4,0,0,3,3
Email,4,4,2,0,0,0,0
