Date,Location name,Location ID,Total views,Views on Search,Views on Maps,Total actions,Website visits,Phone calls,Directions requests,Messages
2026-03-26,Phonebot,5809529935256628290,479,444,35,43,15,5,23,0
2026-03-26,Phonebot – BurJuman Mall Dubai,874122146157175492,137,107,30,10,2,4,4,0
2026-03-27,Phonebot,5809529935256628290,443,410,33,32,12,7,13,0
2026-03-27,Phonebot – BurJuman Mall Dubai,874122146157175492,113,84,29,5,3,1,1,0
2026-03-28,Phonebot,5809529935256628290,445,410,35,35,13,7,15,0
2026-03-28,Phonebot – BurJuman Mall Dubai,874122146157175492,131,92,39,2,2,0,0,0
2026-03-29,Phonebot,5809529935256628290,422,386,36,25,13,4,8,0
2026-03-29,Phonebot – BurJuman Mall Dubai,874122146157175492,128,87,41,8,3,1,4,0
2026-03-30,Phonebot,5809529935256628290,392,365,27,32,12,9,11,0
2026-03-30,Phonebot – BurJuman Mall Dubai,874122146157175492,112,91,21,3,0,2,1,0
2026-03-31,Phonebot,5809529935256628290,469,425,44,41,17,10,14,0
2026-03-31,Phonebot – BurJuman Mall Dubai,874122146157175492,105,70,35,11,0,2,9,0
2026-04-01,Phonebot,5809529935256628290,443,417,26,40,18,11,11,0
2026-04-01,Phonebot – BurJuman Mall Dubai,874122146157175492,106,75,31,9,3,2,4,0
2026-04-02,Phonebot,5809529935256628290,369,331,38,41,15,11,15,0
2026-04-02,Phonebot – BurJuman Mall Dubai,874122146157175492,99,73,26,8,0,4,4,0
2026-04-03,Phonebot,5809529935256628290,432,406,26,35,12,10,13,0
2026-04-03,Phonebot – BurJuman Mall Dubai,874122146157175492,115,83,32,10,1,1,8,0
2026-04-04,Phonebot,5809529935256628290,367,333,34,28,15,6,7,0
2026-04-04,Phonebot – BurJuman Mall Dubai,874122146157175492,136,104,32,18,6,6,6,0
2026-04-05,Phonebot,5809529935256628290,291,264,27,26,12,6,8,0
2026-04-05,Phonebot – BurJuman Mall Dubai,874122146157175492,120,87,33,5,3,2,0,0
2026-04-06,Phonebot,5809529935256628290,497,461,36,43,24,7,12,0
2026-04-06,Phonebot – BurJuman Mall Dubai,874122146157175492,119,89,30,11,1,2,8,0
2026-04-07,Phonebot,5809529935256628290,503,466,37,47,21,9,17,0
2026-04-07,Phonebot – BurJuman Mall Dubai,874122146157175492,126,91,35,6,0,2,4,0
2026-04-08,Phonebot,5809529935256628290,474,441,33,32,18,7,7,0
2026-04-08,Phonebot – BurJuman Mall Dubai,874122146157175492,109,83,26,0,0,0,0,0
2026-04-09,Phonebot,5809529935256628290,426,400,26,61,38,9,14,0
2026-04-09,Phonebot – BurJuman Mall Dubai,874122146157175492,130,103,27,9,1,7,1,0
2026-04-10,Phonebot,5809529935256628290,373,331,42,32,8,7,17,0
2026-04-10,Phonebot – BurJuman Mall Dubai,874122146157175492,169,127,42,8,5,0,3,0
2026-04-11,Phonebot,5809529935256628290,393,355,38,28,13,2,13,0
2026-04-11,Phonebot – BurJuman Mall Dubai,874122146157175492,151,108,43,7,4,2,1,0
2026-04-12,Phonebot,5809529935256628290,380,350,30,44,21,4,19,0
2026-04-12,Phonebot – BurJuman Mall Dubai,874122146157175492,145,105,40,9,1,5,3,0
2026-04-13,Phonebot,5809529935256628290,408,376,32,37,19,6,12,0
2026-04-13,Phonebot – BurJuman Mall Dubai,874122146157175492,139,98,41,14,5,3,6,0
2026-04-14,Phonebot,5809529935256628290,406,365,41,50,19,12,19,0
2026-04-14,Phonebot – BurJuman Mall Dubai,874122146157175492,110,86,24,6,0,3,3,0
2026-04-15,Phonebot,5809529935256628290,387,363,24,30,16,7,7,0
2026-04-15,Phonebot – BurJuman Mall Dubai,874122146157175492,129,92,37,7,0,5,2,0
2026-04-16,Phonebot,5809529935256628290,385,352,33,41,20,7,14,0
2026-04-16,Phonebot – BurJuman Mall Dubai,874122146157175492,135,103,32,7,2,2,3,0
2026-04-17,Phonebot,5809529935256628290,384,351,33,34,12,11,11,0
2026-04-17,Phonebot – BurJuman Mall Dubai,874122146157175492,159,126,33,3,0,1,2,0
2026-04-18,Phonebot,5809529935256628290,359,333,26,30,13,6,11,0
2026-04-18,Phonebot – BurJuman Mall Dubai,874122146157175492,140,99,41,10,1,2,7,0
2026-04-19,Phonebot,5809529935256628290,338,311,27,45,20,7,18,0
2026-04-19,Phonebot – BurJuman Mall Dubai,874122146157175492,160,115,45,5,0,2,3,0
2026-04-20,Phonebot,5809529935256628290,352,317,35,47,24,10,13,0
2026-04-20,Phonebot – BurJuman Mall Dubai,874122146157175492,138,106,32,4,2,2,0,0
2026-04-21,Phonebot,5809529935256628290,341,315,26,38,12,12,14,0
2026-04-21,Phonebot – BurJuman Mall Dubai,874122146157175492,124,94,30,6,1,2,3,0
2026-04-22,Phonebot,5809529935256628290,38,0,38,18,0,0,18,0
2026-04-22,Phonebot – BurJuman Mall Dubai,874122146157175492,28,0,28,6,0,0,6,0
2026-04-23,Phonebot,5809529935256628290,0,0,0,0,0,0,0,0
2026-04-23,Phonebot – BurJuman Mall Dubai,874122146157175492,0,0,0,0,0,0,0,0
2026-04-24,Phonebot,5809529935256628290,0,0,0,0,0,0,0,0
2026-04-24,Phonebot – BurJuman Mall Dubai,874122146157175492,0,0,0,0,0,0,0,0
