Date,Cost,Clicks,Conversions,AllConversions,Conversionsvalue,AllConversionsvalue
2026-03-28,879.5267,1032,17.08,95,8494.47,29053.53
2026-03-29,911.5404,1110,19.81,102.48,9125.93,34343.38
2026-03-30,920.9497,1038,18.69,96.49,12415.23,39372.99
2026-03-31,714.2447,861,18.29,104.84,7783.03,30618.89
2026-04-01,834.2579,898,17.64,118.37,7325.92,28502.83
2026-04-02,812.3539,877,21.16,135.44,12999.42,53722.02
2026-04-03,629.3812,782,11.8,73,6594.42,26847.84
2026-04-04,554.3812,753,10.32,68.31,3773.95,17871.55
2026-04-05,426.8383,586,12,66.96,7802.38,30016.68
2026-04-06,476.06,647,16.07,81.86,10933.49,40459.88
2026-04-07,560.4434,714,5.52,51.87,2814.8,12819.69
2026-04-08,535.4878,640,14.01,73.75,5837.13,19798.62
2026-04-09,472.1925,536,17.85,95.04,6331.55,26183.49
2026-04-10,407.8738,496,15.85,88.49,7870.44,25686.44
2026-04-11,303.4334,406,5.54,58.24,2138.25,13027.9
2026-04-12,353.7567,472,9.98,53.47,3515.58,14243.95
2026-04-13,454.8376,460,10.53,64.92,7561.41,29128.68
2026-04-14,497.419,515,18.94,106.4,8856.64,35059.92
2026-04-15,442.9058,488,8.01,56.08,4194.45,20422.82
2026-04-16,525.4512,567,13.98,89.41,6515.93,24523.79
2026-04-17,560.8116,594,15.48,97.11,5892.72,23114.01
2026-04-18,659.4166,614,8,60.45,6332.02,25852.06
2026-04-19,651.8347,767,18.05,96.35,10917.04,43355.53
2026-04-20,644.5198,793,13.23,88.97,5724.9,26037.31
2026-04-21,664.4437,852,18.26,102.73,10376.8,41781.77
2026-04-22,834.3241,864,16.44,93.69,9798.23,40541.21
2026-04-23,957.8992,910,17.55,112.52,11033.99,46790.63
2026-04-24,802.6927,835,8.39,68.88,4462.84,21715.68
2026-04-25,925.1319,909,9.41,52.55,6740.98,25583.1
2026-04-26,456.8788,463,5.97,33.91,3495.33,12831.56
