Campaign,Cost,Clicks,Conversions,AllConversions,Conversionsvalue,AllConversionsvalue
CJ - PMax (Apple) iPad,3644.088,4195,74.49,369.84,30918.54,117657.78
CJ - PMax (Samsung),2876.3223,3364,57.02,283.49,30803.51,120768.42
CJ - Phonebot (B),2576.8641,3563,116.68,719.3,72012.47,301637.36
SS - All Products >$1000,1719.32,1675,14.16,75.32,16025.03,58727.96
CJ - PMax (Apple),1654.4861,1367,24.69,117.27,15825.47,55291.05
CJ - Refurbished Phones,1233.3781,826,24.19,136.12,12687.16,46517.48
CJ - Phonebot (B) - Lower ROAS,1002.4849,582,13.93,92.27,7237.16,25888.22
CJ - PMax (Google),991.1771,826,19.57,86.7,9950.12,36842.32
CJ - PMax (Everything Else),886.5743,1868,10.54,58.25,5889.13,24306.91
PMax - Apple Watches,751.1375,1279,17.55,89.48,5987.18,23592.95
SS - Excluded Products - >$100,429.5,471,3.48,24.99,3375.21,14260.34
Standard Shopping - iPhone 17,343.49,453,0,0,0,0
Phonebot (B) Standard Shopping,335.87,275,12.55,64.67,11129.83,41670.7
CJ - PMax (< $100 / Accessories) (PB),198.1429,376,31.58,171.15,1111.8,8526.69
CJ - Sell Phone For Cash (Australia),180.5839,426,3,277.68,0,308.58
PMax - iPhone 17,104.493,79,0.23,3.84,74.73,235.48
CJ - DSA (All Pages),96.4685,82,2.26,12,830.42,3426.85
PMax - Covers - Excl.Products,80.9224,346,14.86,93.5,4680.89,23522.96
