"Matched search term","Campaign name","Ad group name","Branded vs. non-branded search queries","Currency code","Cost","Clicks","Impressions","Conversions","Total conversion value"
"phonebot","CJ - Phonebot (B)","Phonebot","branded","AUD",1580.4942,2298,6271,55.26,33101.32
"phone bot","CJ - Phonebot (B)","Phonebot","branded","AUD",469.7253,807,2070,34.5,20672.64
"phonebot australia","CJ - Phonebot (B)","Phonebot","branded","AUD",299.6884,307,787,7.5,4465.58
"phonebot","Phonebot (B) Standard Shopping","Apple","branded","AUD",165.95,129,14608,8.73,7414.73
"phonebot reviews","CJ - Phonebot (B) - Lower ROAS","Phonebot","branded","AUD",135.2768,31,200,1.16,149.16
"phonebot review","CJ - Phonebot (B) - Lower ROAS","Phonebot","branded","AUD",95.6752,26,150,1,476.01
"phonebot coupon","CJ - Phonebot (B)","Phonebot Coupon","branded","AUD",71.7598,24,82,3.68,2551.77
"phone bot","Phonebot (B) Standard Shopping","Apple","branded","AUD",64.19,37,3958,2,2521
"phonebot melbourne","CJ - Phonebot (B)","Phonebot","branded","AUD",63.0485,99,266,1,389.01
"phone bot reviews","CJ - Phonebot (B) - Lower ROAS","Phonebot","branded","AUD",62.7379,12,77,0,0
"phonebot discount code","CJ - Phonebot (B)","Phonebot Coupon","branded","AUD",60.1418,33,121,4.62,2744.76
"refurbished phones","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",59.5498,32,554,0,0
"iphone 17","SS - All Products >$1000","All Products > $1000","non-branded","AUD",55.07,99,5843,0,0
"phonebot","Phonebot (B) Standard Shopping","Samsung","branded","AUD",48.6,61,5946,1.32,830.1
"phonebot coupon code","CJ - Phonebot (B)","Phonebot Coupon","branded","AUD",43.073,15,42,4.01,2399.61
"phonebot australia","SS - All Products >$1000","All Products > $1000","branded","AUD",37.73,13,1152,0,0
"phone bot","Phonebot (B) Standard Shopping","Samsung","branded","AUD",36.75,22,1630,0,0
"iphone 17 pro max","SS - All Products >$1000","All Products > $1000","non-branded","AUD",32.96,36,3572,0,0
"phone bot shop","CJ - Phonebot (B) - Lower ROAS","Phonebot","branded","AUD",32.7706,52,112,1,569.01
