"Item ID","Title","Brand","Condition","Availability","Price","Currency","Product type","Custom label 0","Custom label 1","Feed label","Channel","Product link"
"345","Samsung Galaxy Tab 3 (16GB) Wifi [Grade A]","Samsung","refurbished","out of stock","159.00","AUD","Tablet","price_101_600","margin_high","AU","local","https://www.phonebot.com.au/android-tablets/samsung-galaxy-tab-3-16gb-wifi-p5210"
"345","Samsung Galaxy Tab 3 (16GB) Wifi [Grade A]","Samsung","refurbished","out of stock","159.00","AUD","Tablet","price_101_600","margin_high","AU","online","https://www.phonebot.com.au/android-tablets/samsung-galaxy-tab-3-16gb-wifi-p5210"
"346","Samsung Galaxy Note 10.1 [Grade A]","Samsung","refurbished","out of stock","159.00","AUD","Tablet","price_101_600","margin_high","AU","local","https://www.phonebot.com.au/samsung-galaxy-tablets/samsung-galaxy-note-10.1-sm-p600"
"346","Samsung Galaxy Note 10.1 [Grade A]","Samsung","refurbished","out of stock","199.00","AUD","Tablet","price_101_600","margin_high","AU","online","https://www.phonebot.com.au/samsung-galaxy-tablets/samsung-galaxy-note-10.1-sm-p600"
"362","Motorola Moto G 2nd Gen (8GB) [Grade A]","Motorola","refurbished","out of stock","119.00","AUD","Mobile","price_101_600","margin_high","AU","local","https://www.phonebot.com.au/motorola-refurbished/motorola-moto-g-2nd-gen"
"362","Motorola Moto G 2nd Gen (8GB) [Grade A]","Motorola","refurbished","out of stock","119.00","AUD","Mobile","price_101_600","margin_high","AU","online","https://www.phonebot.com.au/motorola-refurbished/motorola-moto-g-2nd-gen"
"485","Samsung Galaxy A3 4G [Grade A]","Samsung","new","out of stock","199.00","AUD","Mobile","price_101_600","margin_high","AU","local","https://www.phonebot.com.au/samsung-a-series/samsung-galaxy-a3-4g"
"485","Samsung Galaxy A3 4G [Grade A]","Samsung","new","out of stock","199.00","AUD","Mobile","price_101_600","margin_high","AU","online","https://www.phonebot.com.au/samsung-a-series/samsung-galaxy-a3-4g"
"495","Samsung Gear VR 2 Oculus","Samsung","new","out of stock","155.00","AUD","Accessories","price_101_600","margin_high","AU","local","https://www.phonebot.com.au/accessories/samsung-gear-vr-2-oculus"
"495","Samsung Gear VR 2 Oculus","Samsung","new","out of stock","155.00","AUD","Accessories","price_101_600","margin_high","AU","online","https://www.phonebot.com.au/accessories/samsung-gear-vr-2-oculus"
"531","Apple iPhone SE (16GB) [Grade A]","Apple","used","out of stock","119.00","AUD","Mobile","price_101_600","margin_high","AU","local","https://www.phonebot.com.au/iphone-se/apple-iphone-se-16gb-space-gray-grade-a"
"531","Apple iPhone SE (16GB) [Grade A]","Apple","used","out of stock","119.00","AUD","Mobile","price_101_600","margin_high","AU","online","https://www.phonebot.com.au/iphone-se/apple-iphone-se-16gb-space-gray-grade-a"
"566","Samsung Level On Pro Wireless Bluetooth Headphones","Samsung","new","out of stock","129.00","AUD","Accessories","price_101_600","margin_high","AU","local","https://www.phonebot.com.au/accessories/samsung-wireless-bluetooth-headphones"
"566","Samsung Level On Pro Wireless Bluetooth Headphones","Samsung","new","out of stock","129.00","AUD","Accessories","price_101_600","margin_high","AU","online","https://www.phonebot.com.au/accessories/samsung-wireless-bluetooth-headphones"
"572","Huawei Nexus 6P [Grade A]","Huawei","refurbished","out of stock","179.00","AUD","Mobile","price_101_600","margin_high","AU","local","https://www.phonebot.com.au/nexus-6p"
"572","Huawei Nexus 6P [Grade A]","Huawei","refurbished","out of stock","179.00","AUD","Mobile","price_101_600","margin_high","AU","online","https://www.phonebot.com.au/nexus-6p"
"576","Apple iPhone 7 (32GB) [Grade A]","Apple","refurbished","out of stock","99.00","AUD","Mobile","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/iphone-7/apple-iphone-7-32gb-refurbished"
"576","Apple iPhone 7 (32GB) [Grade A]","Apple","refurbished","out of stock","209.00","AUD","Mobile","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/iphone-7/apple-iphone-7-32gb-refurbished"
"589","HTC 10 (32GB) [Grade A]","HTC","refurbished","out of stock","199.00","AUD","Mobile","price_101_600","margin_high","AU","local","https://www.phonebot.com.au/htc-refurbished/htc-10-32gb-grade-a"
"589","HTC 10 (32GB) [Grade A]","HTC","refurbished","out of stock","279.00","AUD","Mobile","price_101_600","margin_high","AU","online","https://www.phonebot.com.au/htc-refurbished/htc-10-32gb-grade-a"
"592","HTC Desire 825 (16GB) [Like New]","HTC","refurbished","out of stock","189.00","AUD","Mobile","price_101_600","margin_high","AU","local","https://www.phonebot.com.au/htc-refurbished/htc-desire-825"
"592","HTC Desire 825 (16GB) [Like New]","HTC","refurbished","out of stock","189.00","AUD","Mobile","price_101_600","margin_high","AU","online","https://www.phonebot.com.au/htc-refurbished/htc-desire-825"
"595","HTC One X10 (32GB) [Grade A]","HTC","refurbished","out of stock","199.00","AUD","Mobile","price_101_600","margin_high","AU","local","https://www.phonebot.com.au/htc-refurbished/htc-one-x10"
"595","HTC One X10 (32GB) [Grade A]","HTC","refurbished","out of stock","199.00","AUD","Mobile","price_101_600","margin_high","AU","online","https://www.phonebot.com.au/htc-refurbished/htc-one-x10"
