snapshot_date,Brand,Availability,Price,Currency
2026-04-26,AKASO,out of stock,"""149.00""",AUD
2026-04-26,Acer,out of stock,"""1049.00""",AUD
2026-04-26,Acer,out of stock,"""1299.00""",AUD
2026-04-26,Alcatel,out of stock,"""59.00""",AUD
2026-04-26,Altec Lansing,out of stock,"""49.00""",AUD
2026-04-26,Amazon,out of stock,"""99.00""",AUD
2026-04-26,Apple,in stock,"""29.00""",AUD
2026-04-26,Apple,in stock,"""49.00""",AUD
2026-04-26,Apple,in stock,"""79.00""",AUD
2026-04-26,Apple,in stock,"""99.00""",AUD
2026-04-26,Apple,in stock,"""109.00""",AUD
2026-04-26,Apple,in stock,"""119.00""",AUD
2026-04-26,Apple,in stock,"""129.00""",AUD
2026-04-26,Apple,in stock,"""139.00""",AUD
2026-04-26,Apple,in stock,"""149.00""",AUD
2026-04-26,Apple,in stock,"""159.00""",AUD
2026-04-26,Apple,in stock,"""169.00""",AUD
2026-04-26,Apple,in stock,"""179.00""",AUD
2026-04-26,Apple,in stock,"""189.00""",AUD
2026-04-26,Apple,in stock,"""199.00""",AUD
2026-04-26,Apple,in stock,"""209.00""",AUD
2026-04-26,Apple,in stock,"""219.00""",AUD
2026-04-26,Apple,in stock,"""229.00""",AUD
2026-04-26,Apple,in stock,"""239.00""",AUD
2026-04-26,Apple,in stock,"""249.00""",AUD
2026-04-26,Apple,in stock,"""259.00""",AUD
2026-04-26,Apple,in stock,"""269.00""",AUD
2026-04-26,Apple,in stock,"""279.00""",AUD
2026-04-26,Apple,in stock,"""289.00""",AUD
2026-04-26,Apple,in stock,"""299.00""",AUD
2026-04-26,Apple,in stock,"""309.00""",AUD
2026-04-26,Apple,in stock,"""319.00""",AUD
2026-04-26,Apple,in stock,"""329.00""",AUD
2026-04-26,Apple,in stock,"""339.00""",AUD
2026-04-26,Apple,in stock,"""349.00""",AUD
2026-04-26,Apple,in stock,"""359.00""",AUD
2026-04-26,Apple,in stock,"""369.00""",AUD
2026-04-26,Apple,in stock,"""379.00""",AUD
2026-04-26,Apple,in stock,"""389.00""",AUD
2026-04-26,Apple,in stock,"""399.00""",AUD
2026-04-26,Apple,in stock,"""409.00""",AUD
2026-04-26,Apple,in stock,"""419.00""",AUD
2026-04-26,Apple,in stock,"""429.00""",AUD
2026-04-26,Apple,in stock,"""439.00""",AUD
2026-04-26,Apple,in stock,"""449.00""",AUD
2026-04-26,Apple,in stock,"""459.00""",AUD
2026-04-26,Apple,in stock,"""469.00""",AUD
2026-04-26,Apple,in stock,"""479.00""",AUD
2026-04-26,Apple,in stock,"""489.00""",AUD
2026-04-26,Apple,in stock,"""499.00""",AUD
2026-04-26,Apple,in stock,"""509.00""",AUD
2026-04-26,Apple,in stock,"""519.00""",AUD
2026-04-26,Apple,in stock,"""529.00""",AUD
2026-04-26,Apple,in stock,"""539.00""",AUD
2026-04-26,Apple,in stock,"""549.00""",AUD
2026-04-26,Apple,in stock,"""559.00""",AUD
2026-04-26,Apple,in stock,"""569.00""",AUD
2026-04-26,Apple,in stock,"""579.00""",AUD
2026-04-26,Apple,in stock,"""589.00""",AUD
2026-04-26,Apple,in stock,"""599.00""",AUD
2026-04-26,Apple,in stock,"""609.00""",AUD
2026-04-26,Apple,in stock,"""619.00""",AUD
2026-04-26,Apple,in stock,"""629.00""",AUD
2026-04-26,Apple,in stock,"""639.00""",AUD
2026-04-26,Apple,in stock,"""649.00""",AUD
2026-04-26,Apple,in stock,"""659.00""",AUD
2026-04-26,Apple,in stock,"""669.00""",AUD
2026-04-26,Apple,in stock,"""679.00""",AUD
2026-04-26,Apple,in stock,"""689.00""",AUD
2026-04-26,Apple,in stock,"""699.00""",AUD
2026-04-26,Apple,in stock,"""719.00""",AUD
2026-04-26,Apple,in stock,"""729.00""",AUD
2026-04-26,Apple,in stock,"""739.00""",AUD
2026-04-26,Apple,in stock,"""749.00""",AUD
2026-04-26,Apple,in stock,"""759.00""",AUD
2026-04-26,Apple,in stock,"""769.00""",AUD
2026-04-26,Apple,in stock,"""779.00""",AUD
2026-04-26,Apple,in stock,"""789.00""",AUD
2026-04-26,Apple,in stock,"""799.00""",AUD
2026-04-26,Apple,in stock,"""809.00""",AUD
2026-04-26,Apple,in stock,"""819.00""",AUD
2026-04-26,Apple,in stock,"""829.00""",AUD
2026-04-26,Apple,in stock,"""849.00""",AUD
2026-04-26,Apple,in stock,"""869.00""",AUD
2026-04-26,Apple,in stock,"""889.00""",AUD
2026-04-26,Apple,in stock,"""899.00""",AUD
2026-04-26,Apple,in stock,"""919.00""",AUD
2026-04-26,Apple,in stock,"""929.00""",AUD
2026-04-26,Apple,in stock,"""949.00""",AUD
2026-04-26,Apple,in stock,"""969.00""",AUD
2026-04-26,Apple,in stock,"""999.00""",AUD
2026-04-26,Apple,in stock,"""1049.00""",AUD
2026-04-26,Apple,in stock,"""1099.00""",AUD
2026-04-26,Apple,in stock,"""1149.00""",AUD
2026-04-26,Apple,in stock,"""1199.00""",AUD
2026-04-26,Apple,in stock,"""1249.00""",AUD
2026-04-26,Apple,in stock,"""1269.00""",AUD
2026-04-26,Apple,in stock,"""1289.00""",AUD
2026-04-26,Apple,in stock,"""1299.00""",AUD
2026-04-26,Apple,in stock,"""1349.00""",AUD
2026-04-26,Apple,in stock,"""1399.00""",AUD
2026-04-26,Apple,in stock,"""1499.00""",AUD
2026-04-26,Apple,in stock,"""1519.00""",AUD
2026-04-26,Apple,in stock,"""1549.00""",AUD
2026-04-26,Apple,in stock,"""1569.00""",AUD
2026-04-26,Apple,in stock,"""1649.00""",AUD
2026-04-26,Apple,in stock,"""1799.00""",AUD
2026-04-26,Apple,in stock,"""1829.00""",AUD
2026-04-26,Apple,in stock,"""1849.00""",AUD
