Source_medium,Campaign,Sessions,Purchases,Revenue
google / cpc,CJ - Phonebot (B),3187,90,59806
google / cpc,CJ - PMax (Apple) iPad,2887,44,18071
google / cpc,CJ - PMax (Samsung),2478,33,17348
google / cpc,CJ - PMax (Everything Else),1386,5,2299
google / cpc,SS - All Products >$1000,1208,7,8368
bing / cpc,CJ - Bing Shopping (All Products),1107,7,3051
google / cpc,CJ - PMax (Apple),1050,12,6237
google / cpc,PMax - Apple Watches,1040,12,3345
bing / cpc,CJ - Refurbished Phones,890,11,7305
google / cpc,CJ - PMax (Google),631,10,5318
google / cpc,CJ - Refurbished Phones,614,14,6554
google / cpc,CJ - Phonebot (B) - Lower ROAS,436,11,5423
google / cpc,SS - Excluded Products - >$100,366,3,1997
google / cpc,CJ - PMax (< $100 / Accessories) (PB),281,25,854
google / cpc,CJ - Sell Phone For Cash (Australia),249,0,0
google / cpc,PMax - Covers - Excl.Products,246,7,1521
bing / cpc,CJ - Phonebot (B),238,13,8216
google / cpc,Phonebot (B) Standard Shopping,170,9,7743
google / cpc,(not set),120,0,0
google / cpc,CJ - DSA (All Pages),55,2,708
google / cpc,Standard Shopping - iPhone 17,38,0,0
google / cpc,(organic),36,0,0
getprice / cpc,(referral),35,0,0
bing / cpc,Standard Shopping (Apple) - iPads,24,0,0
getprice / cpc,(not set),11,0,0
google / cpc,PMax - iPhone 17,10,0,0
google / cpc,PMax Active (0-30),6,0,0
finder / cpc,(not set),6,0,0
bing / cpc,PMax - Feed Only,5,0,0
brevo / email,UTM Testing,4,0,0
google / cpc,PMax Aging (71+),2,0,0
bing / cpc,Shopping Campaign,1,0,0
google / cpc,PMax Maturing (30-70),1,0,0
