date,cms_orders,cms_rev,cms_gp,aw_spend,aw_conv,aw_value,fa_spend,fa_purch,fa_value,ac_spend,ac_conv,ac_rev,paid_spend,week_start
2026-01-25,20,10603,3003.938223938224,758.3028,22.08,10584.21,116.88,7.0,3679.99,38.91,1.0,618.0,914.0928,2026-01-19
2026-01-26,25,11890,3280.0,571.2352,12.73,3957.68,109.6,4.0,1889.0,34.17,1.0,1378.0,715.0052,2026-01-26
2026-01-27,41,21921,5586.7692307692305,849.2962,25.1,13235.65,114.6,11.0,6946.99,42.13,2.0,336.0,1006.0262,2026-01-26
2026-01-28,34,18069,4451.0,1010.2513,16.24,7857.67,122.55,4.0,2578.0,37.04,3.0,868.0,1169.8413,2026-01-26
2026-01-29,27,16833,3782.8897424248044,966.4611,17.22,11031.33,134.3,2.0,738.0,58.11,3.0,2216.0,1158.8711,2026-01-26
2026-01-30,20,13810,2732.088803088803,951.5221,17.13,11512.95,170.44,3.0,3231.99,45.78,4.0,2258.0,1167.7421,2026-01-26
2026-01-31,31,17415,3803.899301509289,878.0357,17.51,8798.33,164.18,5.0,5055.99,48.73,2.0,1748.0,1090.9457,2026-01-26
2026-02-01,27,16334,3849.0,1148.689,23.46,13293.57,149.7,7.0,5105.98,28.19,1.0,887.0,1326.579,2026-01-26
2026-02-02,29,18816,5088.090818365382,1117.8703,22.97,14236.54,117.9,8.0,5827.98,49.12,1.0,514.0,1284.8903,2026-02-02
2026-02-03,34,15455,3236.0,1344.1718,16.79,6593.37,115.31,13.0,7469.99,47.48,2.0,1957.0,1506.9618,2026-02-02
2026-02-04,31,15297,3378.6446981831223,1379.509,24.97,12496.61,121.69,11.0,5754.99,63.4,0.0,0.0,1564.599,2026-02-02
2026-02-05,32,14576,3559.8897424248044,1361.7628,29.55,15723.11,145.78,4.0,2016.0,53.47,4.0,2694.0,1561.0128,2026-02-02
2026-02-06,28,13743,3792.7478820763263,1103.2657,19.49,9765.32,142.37,13.0,8070.93,41.85,2.0,1366.0,1287.4857,2026-02-02
2026-02-07,26,13193,4057.779356587422,1450.424,20.99,7891.9,135.98,4.0,2104.0,35.72,2.0,867.0,1622.124,2026-02-02
2026-02-08,24,15980,3699.0,1663.9648,22.45,12087.13,161.14,6.0,4838.98,48.48,3.0,1848.0,1873.5848,2026-02-02
2026-02-09,51,25696,4948.0,1062.461,28.36,16114.78,172.33,7.0,5739.0,58.6,2.0,224.0,1293.391,2026-02-09
2026-02-10,31,13987,3705.0,839.2871,22.12,9882.65,169.21,2.0,507.99,75.09,1.0,758.0,1083.5871,2026-02-09
2026-02-11,33,17434,3908.7876447876447,847.3151,17.98,11684.8,154.7,9.0,5185.99,51.41,2.0,1570.0,1053.4251,2026-02-09
2026-02-12,27,16742,3989.0,1430.5378,23.81,13104.43,160.01,7.0,5135.0,82.42,4.0,3344.0,1672.9678,2026-02-09
