week_start,cms_orders,cms_rev,cms_gp,aw_spend,fa_spend,ac_spend,paid_spend,days_in_week,aov,margin,cms_orders_per_day,gp_minus_paid
2026-01-19,20,10603.0,3003.938223938224,758.3028,116.88,38.91,914.0928,1,530.15,28.33102163480358,20.0,2089.845423938224
2026-01-26,205,116272.0,27485.647077792124,6375.4906,965.37,294.15,7635.0106,7,567.18,23.63909374380085,29.28571428571428,19850.636477792126
2026-02-02,204,107060.0,26812.152497637057,9420.9684,940.17,339.52,10700.6584,7,524.8,25.04404305775925,29.14285714285714,16111.494097637054
2026-02-09,234,120472.0,26818.787644787644,6822.6012,1159.07,480.25,8461.9212,7,514.84,22.2614280868481,33.42857142857143,18356.866444787644
2026-02-16,259,131467.0,31113.880538169804,9367.4243,1794.63,450.94,11612.9943,7,507.59,23.6666848244577,37.0,19500.886238169805
2026-02-23,251,133705.0,36065.178380757236,9361.2905,3081.27,526.53,12969.0905,7,532.69,26.97369461183743,35.85714285714285,23096.087880757237
2026-03-02,233,125313.0,33425.5896501571,6781.3538,2394.92,493.73,9670.0038,7,537.82,26.67368082334403,33.28571428571428,23755.5858501571
2026-03-09,216,112683.0,26338.29995229222,7705.0102,2152.3,525.12,10382.4302,7,521.68,23.37380079718522,30.85714285714286,15955.869752292218
2026-03-16,202,107345.0,29929.676981566387,5913.6543,2501.43,596.51,9011.5943,7,531.41,27.8817615925906,28.85714285714286,20918.082681566386
2026-03-23,244,137515.0,38750.291278204626,5144.3421,2484.52,551.59,8180.4521,7,563.59,28.17895595259036,34.85714285714285,30569.839178204624
2026-03-30,180,94669.0,26728.284451862422,4892.4069,1777.64,402.75,7072.7969,7,525.94,28.23340740037649,25.71428571428572,19655.487551862425
2026-04-06,159,72729.0,21921.83011583012,3109.2476,1816.42,414.08,5339.7476,7,457.42,30.14180054150355,22.71428571428572,16582.082515830116
2026-04-13,157,86645.0,23947.501352161606,3792.6765,1376.65,354.8,5524.1265,7,551.88,27.63864198991471,22.42857142857143,18423.374852161607
2026-04-20,135,75823.0,20333.67579264222,5589.7861,1144.64,330.13,7064.5561,7,561.65,26.81729263237041,19.28571428571428,13269.11969264222
2026-04-27,0,0.0,0.0,1580.0091,265.04,54.05,1899.0991,2,,,0.0,-1899.0991000000001
