Date,Spend,Conversions,Revenue
2026-01-25,38.91,1,618
2026-01-26,34.17,1,1378
2026-01-27,42.13,2,336
2026-01-28,37.04,3,868
2026-01-29,58.11,3,2216
2026-01-30,45.78,4,2258
2026-01-31,48.73,2,1748
2026-02-01,28.19,1,887
2026-02-02,49.12,1,514
2026-02-03,47.48,2,1957
2026-02-04,63.4,0,0
2026-02-05,53.47,4,2694
2026-02-06,41.85,2,1366
2026-02-07,35.72,2,867
2026-02-08,48.48,3,1848
2026-02-09,58.6,2,224
2026-02-10,75.09,1,758
2026-02-11,51.41,2,1570
2026-02-12,82.42,4,3344
2026-02-13,81.46,2,988
2026-02-14,70.54,1,519
2026-02-15,60.73,0,0
2026-02-16,99.95,5,3331
2026-02-17,87.0,5,3033
2026-02-18,75.93,3,1343
2026-02-19,56.35,2,568
2026-02-20,47.62,2,1141
2026-02-21,42.01,1,1399
2026-02-22,42.08,3,1263
2026-02-23,78.62,1,1289
2026-02-24,46.28,2,799
2026-02-25,83.96,1,789
2026-02-26,85.76,2,1177
2026-02-27,88.58,3,1898
2026-02-28,82.3,1,179
2026-03-01,61.03,4,2142
2026-03-02,85.48,3,1565
2026-03-03,67.39,4,2999
2026-03-04,83.43,0,0
2026-03-05,56.07,1,954
2026-03-06,62.32,2,688
2026-03-07,69.76,1,772
2026-03-08,69.28,0,0
2026-03-09,79.39,4,3068
2026-03-10,99.02,1,1528
2026-03-11,85.79,3,1585
2026-03-12,76.65,1,249
2026-03-13,69.91,2,986
2026-03-14,57.62,0,0
2026-03-15,56.74,2,666
2026-03-16,93.19,2,1318
2026-03-17,84.98,1,524
2026-03-18,88.55,3,1360
2026-03-19,100.83,4,1094
2026-03-20,64.5,1,347
2026-03-21,84.32,1,537
2026-03-22,80.14,1,402
2026-03-23,104.91,3,1927
2026-03-24,88.47,4,1815
2026-03-25,93.64,1,339
2026-03-26,84.54,1,379
2026-03-27,68.79,1,964
2026-03-28,60.09,2,527
2026-03-29,51.15,2,1491
2026-03-30,76.35,3,2100
2026-03-31,73.78,0,0
2026-04-01,76.4,1,249
2026-04-02,47.11,1,308
2026-04-03,43.9,1,529
2026-04-04,45.84,2,1078
2026-04-05,39.37,1,529
2026-04-06,49.23,0,0
2026-04-07,48.54,0,0
2026-04-08,55.67,3,1402
2026-04-09,75.14,1,349
2026-04-10,85.61,2,428
2026-04-11,53.2,1,249
2026-04-12,46.69,1,769
2026-04-13,79.7,1,958
2026-04-14,57.78,1,2431
2026-04-15,57.94,1,299
2026-04-16,57.89,1,419
2026-04-17,39.56,1,299
2026-04-18,28.0,1,446
2026-04-19,33.93,1,529
2026-04-20,66.43,2,2275
2026-04-21,61.76,0,0
2026-04-22,47.46,0,0
2026-04-23,53.25,2,759
2026-04-24,35.15,1,1036
