Date Added_parsed,orders,revenue,gp
2026-02-01,27,16334.0,3849.0
2026-02-02,29,18816.0,4689.0
2026-02-03,34,15455.0,3236.0
2026-02-04,31,15297.0,3092.0
2026-02-05,32,14576.0,3350.0
2026-02-06,28,13743.0,3513.0
2026-02-07,26,13193.0,3927.0
2026-02-08,24,15980.0,3699.0
2026-02-09,51,25696.0,4948.0
2026-02-10,31,13987.0,3705.0
2026-02-11,33,17434.0,3860.0
2026-02-12,27,16742.0,3989.0
2026-02-13,32,16169.0,3573.0
2026-02-14,31,13789.0,3412.0
2026-02-15,29,16655.0,3283.0
2026-02-16,31,15197.0,4103.0
2026-02-17,37,19763.0,4262.0
2026-02-18,49,21733.0,5149.0
2026-02-19,43,22580.0,4860.0
2026-02-20,32,16122.0,3269.0
2026-02-21,34,17048.0,3527.0
2026-02-22,33,19024.0,4556.0
2026-02-23,37,17475.0,4718.0
2026-02-24,36,17828.0,3765.0
2026-02-25,52,28450.0,7694.0
2026-02-26,32,20588.0,5248.0
2026-02-27,35,17888.0,5626.0
2026-02-28,27,12456.0,2595.0
2026-03-01,32,19020.0,5432.0
2026-03-02,35,20482.0,3533.0
2026-03-03,34,17944.0,4812.0
2026-03-04,35,18942.0,4827.0
2026-03-05,43,20906.0,5594.0
2026-03-06,24,11098.0,2163.0
2026-03-07,30,19161.0,5467.0
2026-03-08,32,16780.0,4310.0
2026-03-09,25,13723.0,3506.0
2026-03-10,28,17561.0,4241.0
2026-03-11,44,25126.0,5220.0
2026-03-12,32,14065.0,1728.0
2026-03-13,29,12945.0,3322.0
2026-03-14,29,16207.0,4250.0
2026-03-15,29,13056.0,3110.0
2026-03-16,29,19343.0,4614.0
2026-03-17,23,11296.0,3284.0
2026-03-18,38,19203.0,6335.0
2026-03-19,33,20718.0,5471.0
2026-03-20,31,14559.0,3725.0
2026-03-21,24,11825.0,2862.0
2026-03-22,24,10401.0,2792.0
2026-03-23,27,13594.0,3690.0
2026-03-24,41,29933.0,5978.0
2026-03-25,44,17648.0,5658.0
2026-03-26,43,26254.0,8045.0
2026-03-27,39,20419.0,4993.0
2026-03-28,26,15132.0,4679.0
2026-03-29,24,14535.0,3990.0
2026-03-30,26,13128.0,3628.0
2026-03-31,26,14877.0,3260.0
2026-04-01,26,9541.0,3107.0
2026-04-02,29,18632.0,4376.0
2026-04-03,28,15441.0,3437.0
2026-04-04,29,14344.0,4990.0
2026-04-05,16,8706.0,2874.0
2026-04-06,21,14266.0,4826.0
2026-04-07,22,9373.0,2428.0
2026-04-08,32,16854.0,5273.0
2026-04-09,33,10628.0,3042.0
2026-04-10,29,12637.0,3388.0
2026-04-11,10,3993.0,942.0
2026-04-12,15,10375.0,1703.0
2026-04-13,17,10766.0,3420.0
2026-04-14,27,14722.0,3862.0
2026-04-15,23,13977.0,3527.0
2026-04-16,63,16492.0,4287.0
2026-04-17,37,10585.0,2790.0
2026-04-18,11,6616.0,1726.0
2026-04-19,26,15010.0,4364.0
2026-04-20,25,11497.0,2255.0
2026-04-21,29,14616.0,4327.0
2026-04-22,27,16376.0,4552.0
2026-04-23,33,20018.0,5597.0
2026-04-24,21,13316.0,3434.0
