sku,title,gmc_availability,last_sale_date,days_since_sale,ad_cost_30d,ad_clicks_30d,ad_impressions_30d,google_conversions,priority
1425,Apple iPad Pro 10.5-inch (256GB) WiFi Cellular [Grade A,out of stock,2026-04-14,16,179.51,239.0,18271.0,2.8,HIGH
7424,Apple iPhone 16 Pro 5G (256GB) [Like New],(NOT IN GMC FEED),2026-04-23,7,150.06,76.0,7186.0,2.0,MEDIUM
7183,Samsung Galaxy S24 FE 5G (128GB) [Open Box],(NOT IN GMC FEED),2026-04-30,0,141.54,168.0,7895.0,2.7,LOW
5957,Apple iPad Mini 6 (64GB) WiFi Cellular [Grade A],(NOT IN GMC FEED),2026-04-27,3,118.29,123.0,6384.0,3.0,LOW
7377,,(NOT IN GMC FEED),2026-04-24,6,117.59,161.0,10030.0,1.1,LOW
6764,Samsung Galaxy S24 Ultra 5G (512GB) [Grade A],(NOT IN GMC FEED),2026-04-27,3,109.11,83.0,7770.0,0.7,LOW
5765,Samsung Galaxy A54 5G Dual Sim (128GB) [Grade A],(NOT IN GMC FEED),2026-04-29,1,103.65,133.0,8280.0,4.7,LOW
5959,Google Pixel 8 5G (128GB) [Grade A],(NOT IN GMC FEED),2026-04-24,6,103.15,66.0,5479.0,2.3,LOW
6018,Apple iPhone 15 Pro 5G (1TB) [Grade A],(NOT IN GMC FEED),2026-04-21,9,101.28,32.0,2233.0,1.0,MEDIUM
6301,Apple iPad Air 5th Gen (256GB) Wifi Cellular [Grade A],(NOT IN GMC FEED),2026-04-12,18,97.14,128.0,8516.0,1.0,HIGH
8541,Motorola Razr 60 Ultra 5G (512GB) [Like New],(NOT IN GMC FEED),2026-04-14,16,93.8,144.0,4289.0,1.0,HIGH
8469,Samsung Galaxy S25 FE 5G (256GB) [Like New],(NOT IN GMC FEED),2026-04-24,6,93.49,132.0,7809.0,0.0,LOW
8194,Apple iPhone 17 Pro Max 5G (256GB) [Brand New],(NOT IN GMC FEED),2026-04-28,2,90.98,110.0,8837.0,0.0,LOW
7070,Google Pixel 9 Pro XL 5G (256GB) [Like New],(NOT IN GMC FEED),2026-04-10,20,84.94,58.0,5592.0,0.6,HIGH
8396,Apple iPhone 17 5G (256GB) [Like New],(NOT IN GMC FEED),2026-04-15,15,83.16,81.0,5998.0,1.0,HIGH
8307,Samsung Galaxy Watch 8 Classic 46mm Bluetooth [Like New,(NOT IN GMC FEED),2026-03-18,43,82.83,139.0,4888.0,1.8,HIGH
3258,Apple iPad Pro 12.9-inch 4th Gen (256GB) WiFi [Grade A],out of stock,2026-04-22,8,82.75,71.0,5691.0,1.0,MEDIUM
4080,﻿Samsung Galaxy S22 5G (128GB) [Like New],out of stock,2026-04-23,7,81.58,63.0,4846.0,1.8,MEDIUM
880,Apple iPad Air 2 (128GB) WiFi [Grade A],out of stock,2026-04-08,22,80.86,121.0,8648.0,2.0,HIGH
8445,Google Pixel 9 Pro XL 5G (512GB) [Grade A],(NOT IN GMC FEED),2026-04-24,6,80.16,33.0,3040.0,1.6,LOW
6599,Google Pixel 8a 5G (128GB) [Like New],(NOT IN GMC FEED),2026-04-13,17,79.16,70.0,4939.0,3.7,HIGH
8256,Samsung Galaxy Z Fold6 5G (512GB) [Grade B],(NOT IN GMC FEED),2026-04-05,25,75.39,77.0,5318.0,1.0,HIGH
6395,Samsung Galaxy S24 Plus 5G (256GB) [Like New],(NOT IN GMC FEED),2026-04-27,3,74.88,51.0,4862.0,1.2,LOW
6373,Apple Watch Ultra 2 49mm Titanium Case GPS Cellular [Li,(NOT IN GMC FEED),2026-04-04,26,74.33,125.0,6687.0,1.0,HIGH
3968,Apple iPad Pro 10.5-inch (256GB) WiFi [Grade B],out of stock,2026-04-06,24,72.44,131.0,8396.0,0.0,HIGH
7247,,(NOT IN GMC FEED),2026-04-03,27,71.65,113.0,10846.0,0.5,HIGH
4675,,(NOT IN GMC FEED),2026-04-10,20,69.55,76.0,6957.0,0.2,HIGH
8427,Apple iPhone 17 5G (256GB) [Brand New],(NOT IN GMC FEED),2026-04-24,6,69.47,172.0,9277.0,0.0,LOW
6009,Apple iPhone 15 5G (128GB) [Grade A],(NOT IN GMC FEED),2026-04-30,0,66.83,36.0,5064.0,1.6,LOW
6432,Samsung Galaxy Tab S9 Ultra Wifi (512GB) [Like New],(NOT IN GMC FEED),2026-04-27,3,65.72,104.0,4185.0,0.0,LOW
8592,Apple iPad Mini A17 Pro Chip (128GB) Wifi Cellular [Gra,(NOT IN GMC FEED),2026-04-27,3,64.93,64.0,3918.0,0.0,LOW
7749,Apple iPhone 16e 5G (128GB) [Open Box],(NOT IN GMC FEED),2026-04-12,18,64.41,64.0,5876.0,1.0,HIGH
3626,Apple iPad Air 4th Gen (256GB) WiFi [Grade A],out of stock,2026-04-28,2,64.01,95.0,8560.0,1.0,LOW
4718,Apple iPad 9th Gen (64GB) Wifi [Grade B],(NOT IN GMC FEED),2026-04-21,9,63.68,35.0,5094.0,1.0,MEDIUM
8555,Honor Magic V2 5G Dual Sim (512GB) [Grade A],(NOT IN GMC FEED),2026-04-22,8,63.18,120.0,5499.0,1.0,MEDIUM
8290,,(NOT IN GMC FEED),2026-04-25,5,62.84,88.0,6698.0,1.0,LOW
5212,,(NOT IN GMC FEED),2026-04-08,22,61.87,51.0,2713.0,0.0,HIGH
6356,Apple iPad Mini 6 (64GB) WiFi Cellular [Grade B],(NOT IN GMC FEED),2026-04-23,7,60.51,72.0,3043.0,1.0,MEDIUM
7042,Apple Watch Series 9 41mm GPS Cellular Stainless Steel ,(NOT IN GMC FEED),2026-03-25,36,59.63,129.0,5384.0,0.0,HIGH
5956,Google Pixel 8 Pro 5G (128GB) [Grade A],(NOT IN GMC FEED),2026-04-30,0,59.47,40.0,2551.0,0.7,LOW
4576,Apple iPhone 14 Pro 5G (256GB) [Like New],out of stock,2026-04-16,14,59.12,76.0,4135.0,1.0,HIGH
5581,Samsung Galaxy A54 5G Dual Sim (128GB) [Like New],(NOT IN GMC FEED),2026-04-22,8,58.63,69.0,4397.0,2.6,MEDIUM
4931,Apple iPhone 14 Pro Max 5G (128GB) [Grade A],(NOT IN GMC FEED),2026-04-25,5,58.32,37.0,3974.0,1.1,LOW
5044,,(NOT IN GMC FEED),2026-04-03,27,56.13,54.0,2726.0,1.0,HIGH
5840,,(NOT IN GMC FEED),2026-03-31,30,56.06,24.0,4179.0,0.1,HIGH
2088,Apple iPad Mini 5 (64GB) WiFi [Grade A],out of stock,2026-04-01,29,54.89,48.0,3303.0,1.7,HIGH
1274,Apple iPad Mini 4 (128GB) WiFi Cellular [Grade A],out of stock,2026-04-12,18,53.42,108.0,7363.0,2.0,HIGH
8460,,(NOT IN GMC FEED),2026-04-23,7,52.61,79.0,3040.0,1.0,MEDIUM
4658,Apple Watch Series 7 41mm GPS Cellular Aluminium Case [,(NOT IN GMC FEED),2026-04-25,5,52.58,86.0,6657.0,3.5,LOW
5146,Apple iPad Mini 6 (256GB) WiFi Cellular [Grade B],(NOT IN GMC FEED),2026-04-14,16,52.36,63.0,2994.0,1.0,HIGH
4854,,(NOT IN GMC FEED),2026-04-19,11,51.62,28.0,2505.0,1.6,HIGH
4717,Apple iPad 9th Gen (256GB) Wifi [Grade B],(NOT IN GMC FEED),2026-04-13,17,50.34,31.0,3044.0,0.0,HIGH
8306,Samsung Galaxy Watch 8 Classic 46mm Cellular [Like New],(NOT IN GMC FEED),2026-04-25,5,49.39,68.0,2750.0,0.0,LOW
6011,Apple iPhone 15 5G (128GB) [Like New],(NOT IN GMC FEED),2026-04-29,1,49.04,23.0,2608.0,2.0,LOW
6052,Apple iPhone 15 Pro 5G (512GB) [Grade A],(NOT IN GMC FEED),2026-04-29,1,48.98,19.0,1318.0,0.0,LOW
8271,Motorola Razr 50S 5G (256GB) [Like New],(NOT IN GMC FEED),2026-04-21,9,47.63,59.0,5899.0,1.0,MEDIUM
6016,Apple iPhone 15 Pro 5G (256GB) [Grade A],(NOT IN GMC FEED),2026-04-26,4,47.31,30.0,3506.0,0.6,LOW
8539,,(NOT IN GMC FEED),2026-04-30,0,46.95,175.0,12396.0,1.0,LOW
5795,Samsung Galaxy Z Fold5 5G (256GB) [Like New],(NOT IN GMC FEED),2026-04-26,4,45.58,40.0,4528.0,0.0,LOW
3926,Apple iPad 9th Gen (64GB) Wifi [Grade A],out of stock,2026-04-13,17,45.23,31.0,3236.0,0.0,MEDIUM
7071,Google Pixel 9 Pro XL 5G (128GB) [Grade A],(NOT IN GMC FEED),2026-03-22,39,44.59,44.0,3262.0,0.0,MEDIUM
3195,Apple iPad Pro 12.9-inch 4th Gen (512GB) WiFi Cellular ,out of stock,2026-03-09,52,42.94,43.0,4018.0,0.3,MEDIUM
2461,Apple iPad Pro 12.9-inch 4th Gen (128GB) WiFi Cellular ,out of stock,2026-04-29,1,42.76,42.0,3015.0,1.0,LOW
2494,Apple iPad Pro 10.5-inch (256GB) WiFi [Grade A],out of stock,2026-04-01,29,42.69,56.0,2965.0,1.0,MEDIUM
7033,Samsung Galaxy Z Flip6 5G (256GB) [Open Box],(NOT IN GMC FEED),2026-04-30,0,42.46,42.0,5992.0,1.2,LOW
6973,Samsung Galaxy S24 Ultra 5G (256GB) [Grade B],(NOT IN GMC FEED),2026-04-14,16,41.36,40.0,4785.0,0.0,MEDIUM
5623,Apple iPad Air 5th Gen (64GB) Wifi [Grade A],(NOT IN GMC FEED),2026-04-13,17,40.7,45.0,2466.0,1.0,MEDIUM
8650,Apple iPhone 17e 5G (256GB) [Open Box],(NOT IN GMC FEED),2026-04-30,0,40.68,92.0,2297.0,0.0,LOW
