sku,title,gmc,priority,last_sale,days_since_sale,alleged_30d_leak,pre_oos_spend,post_oos_spend,post_oos_active_days,last_spend_date,sync_lag_days
1425,Apple iPad Pro 10.5-inch (256GB) WiFi Cellular [Grade A,out of stock,HIGH,2026-04-14,16,179.51,120.58,109.36,8,2026-04-22,8
8307,Samsung Galaxy Watch 8 Classic 46mm Bluetooth [Like New,(NOT IN GMC FEED),HIGH,2026-03-18,43,82.83,166.8,102.22,11,2026-04-30,43
7042,Apple Watch Series 9 41mm GPS Cellular Stainless Steel ,(NOT IN GMC FEED),HIGH,2026-03-25,36,59.63,53.9,76.08,25,2026-04-25,31
6373,Apple Watch Ultra 2 49mm Titanium Case GPS Cellular [Li,(NOT IN GMC FEED),HIGH,2026-04-04,26,74.33,14.83,68.56,9,2026-04-30,26
8573,Google Pixel 10 5G (128GB) [Grade A],(NOT IN GMC FEED),MEDIUM,2026-03-18,43,6.44,93.81,62.41,3,2026-04-30,43
7071,Google Pixel 9 Pro XL 5G (128GB) [Grade A],(NOT IN GMC FEED),MEDIUM,2026-03-22,39,44.59,75.28,58.06,7,2026-04-21,30
5959,Google Pixel 8 5G (128GB) [Grade A],(NOT IN GMC FEED),LOW,2026-04-24,6,103.15,111.24,58.0,5,2026-04-29,5
3195,Apple iPad Pro 12.9-inch 4th Gen (512GB) WiFi Cellular ,out of stock,MEDIUM,2026-03-09,52,42.94,24.97,56.08,11,2026-04-06,28
5840,,(NOT IN GMC FEED),HIGH,2026-03-31,30,56.06,62.41,51.05,13,2026-04-25,25
7247,,(NOT IN GMC FEED),HIGH,2026-04-03,27,71.65,195.07,50.53,14,2026-04-19,16
7377,,(NOT IN GMC FEED),LOW,2026-04-24,6,117.59,323.71,50.09,6,2026-04-30,6
7035,Samsung Galaxy Z Flip6 5G (512GB) [Grade A],(NOT IN GMC FEED),MEDIUM,2026-03-11,50,9.09,0.0,44.27,4,2026-03-30,19
7961,Samsung Galaxy A25 5G (128GB) [Grade A],(NOT IN GMC FEED),MEDIUM,2026-03-12,49,34.84,7.74,43.9,15,2026-04-09,28
3968,Apple iPad Pro 10.5-inch (256GB) WiFi [Grade B],out of stock,HIGH,2026-04-06,24,72.44,39.97,40.01,6,2026-04-12,6
4717,Apple iPad 9th Gen (256GB) Wifi [Grade B],(NOT IN GMC FEED),HIGH,2026-04-13,17,50.34,61.93,38.59,9,2026-04-25,12
4996,Apple iPad 9th Gen (256GB) Wifi Cellular [Like New],(NOT IN GMC FEED),MEDIUM,2026-04-13,17,37.97,0.0,37.97,8,2026-04-26,13
8271,Motorola Razr 50S 5G (256GB) [Like New],(NOT IN GMC FEED),MEDIUM,2026-04-21,9,47.63,225.14,37.94,9,2026-04-30,9
2155,Apple iPhone 12 Pro 5G (128GB) [Like New],out of stock,MEDIUM,2026-03-10,51,17.06,20.25,34.48,9,2026-04-08,29
8504,Apple Watch Series 10 42mm GPS Cellular Aluminium Case ,(NOT IN GMC FEED),MEDIUM,2026-03-25,36,21.29,8.75,34.13,12,2026-04-28,34
7005,Apple Watch Series 9 41mm GPS Cellular Aluminium Case [,(NOT IN GMC FEED),MEDIUM,2026-03-14,47,12.55,27.02,33.26,17,2026-04-29,46
4778,,(NOT IN GMC FEED),MEDIUM,2026-04-02,28,36.05,83.82,32.68,15,2026-04-22,20
6202,Apple iPad 10th Gen (64GB) Wifi [Like New],(NOT IN GMC FEED),MEDIUM,2026-03-26,35,27.95,12.98,30.93,7,2026-04-30,35
7511,Apple iPhone 16 Pro 5G (128GB) [Grade A],(NOT IN GMC FEED),MEDIUM,2026-04-05,25,35.18,75.01,30.32,11,2026-04-29,24
7872,Samsung Galaxy S25 Ultra 5G (512GB) [Like New],(NOT IN GMC FEED),MEDIUM,2026-03-10,51,17.85,0.0,29.74,7,2026-04-30,51
8396,Apple iPhone 17 5G (256GB) [Like New],(NOT IN GMC FEED),HIGH,2026-04-15,15,83.16,148.38,29.59,8,2026-04-28,13
7203,Apple iPhone 16 5G (128GB) [Like New],(NOT IN GMC FEED),MEDIUM,2026-04-02,28,34.73,88.19,28.08,8,2026-04-24,22
8231,Honor Magic V3 5G Dual Sim (512GB) [Grade A],(NOT IN GMC FEED),MEDIUM,2026-03-18,43,23.69,26.34,28.06,12,2026-04-30,43
8256,Samsung Galaxy Z Fold6 5G (512GB) [Grade B],(NOT IN GMC FEED),HIGH,2026-04-05,25,75.39,47.98,27.41,10,2026-04-28,23
6301,Apple iPad Air 5th Gen (256GB) Wifi Cellular [Grade A],(NOT IN GMC FEED),HIGH,2026-04-12,18,97.14,91.96,27.36,6,2026-04-25,13
7070,Google Pixel 9 Pro XL 5G (256GB) [Like New],(NOT IN GMC FEED),HIGH,2026-04-10,20,84.94,101.98,27.03,5,2026-04-16,6
8635,Samsung Galaxy A36 5G (128GB) [Like New],(NOT IN GMC FEED),MEDIUM,2026-04-20,10,22.54,0.0,27.0,9,2026-04-29,9
7069,Google Pixel 9 5G (128GB) [Like New],(NOT IN GMC FEED),MEDIUM,2026-03-21,40,13.99,17.57,26.53,7,2026-04-30,40
