sku,availability,title,ad_cost_30d,ad_clicks_30d,ad_impressions_30d,google_conversions,google_value,campaigns
1425,out of stock,Apple iPad Pro 10.5-inch (256GB) WiFi Cellular [Gr,179.51,239.0,18271.0,2.75,1716.9,CJ - PMax (Apple) iPad|Phonebot (B) Standard Shopping
7729,(NOT IN GMC FEED),,170.37,327.0,21384.0,0.0,0.0,SS - Excluded Products - >$100|CJ - PMax (Everything Else)
7424,(NOT IN GMC FEED),Apple iPhone 16 Pro 5G (256GB) [Like New],150.06,76.0,7186.0,1.98,2684.21,SS - Excluded Products - >$100|SS - All Products >$1000
7183,(NOT IN GMC FEED),Samsung Galaxy S24 FE 5G (128GB) [Open Box],141.54,168.0,7895.0,2.7,1651.08,CJ - PMax (Samsung)|Phonebot (B) Standard Shopping
7031,(NOT IN GMC FEED),Samsung Galaxy A55 5G Dual Sim (128GB) [Grade A],120.05,158.0,9886.0,1.56,631.72,CJ - PMax (Samsung)|Phonebot (B) Standard Shopping
5957,(NOT IN GMC FEED),Apple iPad Mini 6 (64GB) WiFi Cellular [Grade A],118.29,123.0,6384.0,3.0,1922.0,CJ - PMax (Apple) iPad|Phonebot (B) Standard Shopping
7377,(NOT IN GMC FEED),,117.59,161.0,10030.0,1.08,618.82,CJ - PMax (Samsung)|Phonebot (B) Standard Shopping
6764,(NOT IN GMC FEED),Samsung Galaxy S24 Ultra 5G (512GB) [Grade A],109.11,83.0,7770.0,0.65,652.06,SS - All Products >$1000|CJ - PMax (Samsung)|Phonebot (B) Standard Shopping
5765,(NOT IN GMC FEED),Samsung Galaxy A54 5G Dual Sim (128GB) [Grade A],103.65,133.0,8280.0,4.72,1335.32,CJ - PMax (Samsung)|Phonebot (B) Standard Shopping
5959,(NOT IN GMC FEED),Google Pixel 8 5G (128GB) [Grade A],103.15,66.0,5479.0,2.33,1010.68,CJ - PMax (Google)
6018,(NOT IN GMC FEED),Apple iPhone 15 Pro 5G (1TB) [Grade A],101.28,32.0,2233.0,1.0,1208.35,SS - All Products >$1000|Phonebot (B) Standard Shopping
7944,(NOT IN GMC FEED),,100.89,302.0,17122.0,0.0,0.0,CJ - PMax (Everything Else)
6301,(NOT IN GMC FEED),Apple iPad Air 5th Gen (256GB) Wifi Cellular [Grad,97.14,128.0,8516.0,0.97,627.26,CJ - PMax (Apple) iPad
8541,(NOT IN GMC FEED),Motorola Razr 60 Ultra 5G (512GB) [Like New],93.8,144.0,4289.0,1.0,1172.0,SS - All Products >$1000
8469,(NOT IN GMC FEED),Samsung Galaxy S25 FE 5G (256GB) [Like New],93.49,132.0,7809.0,0.0,0.0,CJ - PMax (Samsung)|Phonebot (B) Standard Shopping
8194,(NOT IN GMC FEED),Apple iPhone 17 Pro Max 5G (256GB) [Brand New],90.98,110.0,8837.0,0.0,0.0,Standard Shopping - iPhone 17|SS - All Products >$1000|Phonebot (B) Standard Shopping
6026,(NOT IN GMC FEED),Apple iPhone 15 Pro Max 5G (256GB) [Grade B],88.11,58.0,6847.0,1.0,1149.0,SS - Excluded Products - >$100|SS - All Products >$1000
7070,(NOT IN GMC FEED),Google Pixel 9 Pro XL 5G (256GB) [Like New],84.94,58.0,5592.0,0.63,583.51,CJ - PMax (Google)
8396,(NOT IN GMC FEED),Apple iPhone 17 5G (256GB) [Like New],83.16,81.0,5998.0,1.0,1298.0,Standard Shopping - iPhone 17|SS - All Products >$1000|Phonebot (B) Standard Shopping
8307,(NOT IN GMC FEED),Samsung Galaxy Watch 8 Classic 46mm Bluetooth [Lik,82.83,139.0,4888.0,1.8,1216.46,CJ - PMax (Samsung)|Phonebot (B) Standard Shopping
3258,out of stock,Apple iPad Pro 12.9-inch 4th Gen (256GB) WiFi [Gra,82.75,71.0,5691.0,1.0,799.0,CJ - PMax (Apple) iPad|Phonebot (B) Standard Shopping
4080,out of stock,﻿Samsung Galaxy S22 5G (128GB) [Like New],81.58,63.0,4846.0,1.78,636.27,CJ - PMax (Samsung)|Phonebot (B) Standard Shopping
880,out of stock,Apple iPad Air 2 (128GB) WiFi [Grade A],80.86,121.0,8648.0,2.02,316.47,CJ - PMax (Apple) iPad|Phonebot (B) Standard Shopping
8445,(NOT IN GMC FEED),Google Pixel 9 Pro XL 5G (512GB) [Grade A],80.16,33.0,3040.0,1.61,2165.59,CJ - PMax (Google)
6599,(NOT IN GMC FEED),Google Pixel 8a 5G (128GB) [Like New],79.16,70.0,4939.0,3.74,1768.61,CJ - PMax (Google)
8256,(NOT IN GMC FEED),Samsung Galaxy Z Fold6 5G (512GB) [Grade B],75.39,77.0,5318.0,1.0,1114.0,SS - All Products >$1000|Phonebot (B) Standard Shopping
6395,(NOT IN GMC FEED),Samsung Galaxy S24 Plus 5G (256GB) [Like New],74.88,51.0,4862.0,1.17,931.33,CJ - PMax (Samsung)|Phonebot (B) Standard Shopping
6373,(NOT IN GMC FEED),Apple Watch Ultra 2 49mm Titanium Case GPS Cellula,74.33,125.0,6687.0,1.0,283.92,PMax - Apple Watches
3968,out of stock,Apple iPad Pro 10.5-inch (256GB) WiFi [Grade B],72.44,131.0,8396.0,0.0,0.0,CJ - PMax (Apple) iPad|Phonebot (B) Standard Shopping
7247,(NOT IN GMC FEED),,71.65,113.0,10846.0,0.49,456.08,CJ - PMax (Everything Else)
4675,(NOT IN GMC FEED),,69.55,76.0,6957.0,0.22,127.91,CJ - PMax (Apple)|Phonebot (B) Standard Shopping
8427,(NOT IN GMC FEED),Apple iPhone 17 5G (256GB) [Brand New],69.47,172.0,9277.0,0.0,0.0,SS - All Products >$1000|Phonebot (B) Standard Shopping
6009,(NOT IN GMC FEED),Apple iPhone 15 5G (128GB) [Grade A],66.83,36.0,5064.0,1.62,1491.1,CJ - PMax (Apple)|Phonebot (B) Standard Shopping
6432,(NOT IN GMC FEED),Samsung Galaxy Tab S9 Ultra Wifi (512GB) [Like New,65.72,104.0,4185.0,0.0,0.0,CJ - PMax (Samsung)|Phonebot (B) Standard Shopping
8592,(NOT IN GMC FEED),Apple iPad Mini A17 Pro Chip (128GB) Wifi Cellular,64.93,64.0,3918.0,0.0,0.0,CJ - PMax (Apple) iPad|Phonebot (B) Standard Shopping
7749,(NOT IN GMC FEED),Apple iPhone 16e 5G (128GB) [Open Box],64.41,64.0,5876.0,1.0,758.0,CJ - PMax (Apple)|Phonebot (B) Standard Shopping
3626,out of stock,Apple iPad Air 4th Gen (256GB) WiFi [Grade A],64.01,95.0,8560.0,1.0,487.0,CJ - PMax (Apple) iPad|Phonebot (B) Standard Shopping
4718,(NOT IN GMC FEED),Apple iPad 9th Gen (64GB) Wifi [Grade B],63.68,35.0,5094.0,1.0,887.0,CJ - PMax (Apple) iPad|Phonebot (B) Standard Shopping
8555,(NOT IN GMC FEED),Honor Magic V2 5G Dual Sim (512GB) [Grade A],63.18,120.0,5499.0,1.0,1081.0,CJ - PMax (Everything Else)
8290,(NOT IN GMC FEED),,62.84,88.0,6698.0,1.0,906.0,CJ - PMax (Samsung)|Phonebot (B) Standard Shopping
7939,(NOT IN GMC FEED),Samsung Galaxy S24 Plus 5G (256GB) [Grade B],62.41,47.0,3305.0,1.12,766.79,CJ - PMax (Samsung)|Phonebot (B) Standard Shopping
8414,(NOT IN GMC FEED),Apple iPhone Air (256GB) [Open Box],62.21,84.0,6682.0,0.82,1120.78,SS - All Products >$1000|Phonebot (B) Standard Shopping
5212,(NOT IN GMC FEED),,61.87,51.0,2713.0,0.0,0.0,CJ - PMax (Samsung)|Phonebot (B) Standard Shopping
