"Date","Offer ID","Cost","Clicks","Impressions","Conversions"
"2026-03-03","1404",0.92,2,21,0
"2026-03-03","1452",0.27,1,22,0
"2026-03-03","2147",0.22,1,25,0
"2026-03-03","2162",5.98,9,465,0
"2026-03-03","2177",0.97,6,268,0
"2026-03-03","2230",3.94,5,632,0.29
"2026-03-03","2333",2.6326,3,571,0
"2026-03-03","2503",0.36,1,4,0.93
"2026-03-03","3024",0.34,1,66,0
"2026-03-03","3144",1.29,1,48,0
"2026-03-03","3195",4.9,4,454,1
"2026-03-03","3396",0.14,1,14,0
"2026-03-03","3462",21.9,16,615,0.42
"2026-03-03","3503",1.7,1,81,0
"2026-03-03","3612",2.04,3,749,0
"2026-03-03","3613",0.5,1,43,1
"2026-03-03","3614",1.43,1,75,0
"2026-03-03","3655",1.07,2,93,0
"2026-03-03","3711",1.03,2,484,1
"2026-03-03","3762",4.28,4,78,1
"2026-03-03","3775",7.24,2,273,0
"2026-03-03","3780",1,2,167,0
"2026-03-03","3782",2.22,1,83,1
"2026-03-03","3786",1.1441,1,173,0
"2026-03-03","3798",2.49,4,198,0
"2026-03-03","4081",0.9,2,127,0
"2026-03-03","4083",2.89,2,236,0
"2026-03-03","4242",1.83,2,75,0
"2026-03-03","4466",0.6712,2,260,0
"2026-03-03","4528",2.35,1,181,0
"2026-03-03","4548",7.14,6,345,1.01
"2026-03-03","4570",14.07,12,934,0
"2026-03-03","4630",1.05,2,29,0
"2026-03-03","4634",0.77,1,83,0
"2026-03-03","4657",0.26,1,272,0
"2026-03-03","4695",1.87,3,380,0.29
"2026-03-03","4717",6.0444,5,572,0
"2026-03-03","4743",1,3,381,0
"2026-03-03","4798",1.84,2,88,0
"2026-03-03","4800",6.33,7,210,1
"2026-03-03","4809",2.15,2,399,0
"2026-03-03","4855",2.07,1,218,0
"2026-03-03","4870",13.29,7,613,0
"2026-03-03","4871",0.2,1,60,0
"2026-03-03","4929",6.29,15,850,0
"2026-03-03","4931",1.06,2,407,0
"2026-03-03","4932",2.24,2,68,0
"2026-03-03","4969",0.75,1,142,0
"2026-03-03","4991",1.81,2,211,0
"2026-03-03","5014",5.04,1,64,0.02
"2026-03-03","5049",8.89,5,463,0.04
"2026-03-03","5149",10.62,10,687,0
"2026-03-03","5180",0.65,1,120,0
"2026-03-03","5195",1.29,1,43,0
"2026-03-03","5196",3.76,2,79,0
"2026-03-03","5208",1.09,2,158,0
"2026-03-03","5314",2.9129,4,519,0
