quadrant,sku,title,ad_imp_30d,ad_cost_30d,google_attr_val,actual_sold_rev,actual_sold_gp,gp_pct,units,gmc_price,gmc_avail
A_winners,8397,Apple iPhone 17 5G (256GB) [Open Box],2441,24.62,0.0,7756.0,396.0,5.1,6,0,
A_winners,8427,Apple iPhone 17 5G (256GB) [Brand New],9277,69.47,0.0,5412.0,1423.0,26.3,4,0,
A_winners,6599,Google Pixel 8a 5G (128GB) [Like New],4939,79.16,1768.61,4721.0,1490.0,31.6,10,0,
A_winners,6011,Apple iPhone 15 5G (128GB) [Like New],2608,49.04,2102.0,3893.0,969.0,24.9,5,0,
A_winners,6009,Apple iPhone 15 5G (128GB) [Grade A],5064,66.83,1491.1,3645.0,743.0,20.4,5,0,
A_winners,6393,Samsung Galaxy S24 5G (256GB) [Like New],3475,29.5,0.0,3641.0,973.0,26.7,5,0,
A_winners,4808,Apple iPhone 14 Plus 5G (256GB) [Like New],1091,27.21,0.0,3291.0,896.0,27.2,5,0,
A_winners,4867,Apple iPhone 14 5G (128GB) [Grade A],3048,25.09,0.0,3152.0,624.0,19.8,6,0,
A_winners,6395,Samsung Galaxy S24 Plus 5G (256GB) [Like New],4862,74.88,931.33,3077.0,877.0,28.5,4,0,
A_winners,4548,Mobile,5581,54.79,259.0,3029.0,943.0,31.1,12,259.0,in stock
A_winners,6016,Apple iPhone 15 Pro 5G (256GB) [Grade A],3506,47.31,783.85,3005.0,872.0,29.0,3,0,
A_winners,8445,Google Pixel 9 Pro XL 5G (512GB) [Grade A],3040,80.16,2165.59,2881.0,655.0,22.7,3,0,
A_winners,6356,Apple iPad Mini 6 (64GB) WiFi Cellular [Grade B],3043,60.51,2353.0,2822.0,903.0,32.0,6,0,
A_winners,7424,Apple iPhone 16 Pro 5G (256GB) [Like New],7186,150.06,2684.21,2706.0,810.0,29.9,2,0,
A_winners,8396,Apple iPhone 17 5G (256GB) [Like New],5998,83.16,1298.0,2567.0,486.0,18.9,3,0,
