__date,cms_orders,cms_rev,cms_gp,fb_spend,fb_purch,fb_value,aw_spend,aw_conv,aw_value,aw_all_value,bing_spend,bing_conv,bing_rev,gmb_views,gmb_actions,gmb_phone,gmb_dirs,paid_spend,paid_platform_rev
2026-03-26,43,26254,8045.0,375.51,14,9742.0,754.525,20.44,9779.82,41842.66,84.53999999999999,1,379,479,43,5,23,1214.5749999999998,19900.82
2026-03-27,39,20419,5336.518395023919,370.34,10,4161.96,861.5003,21.88,11342.52,42138.78,68.79,1,964,443,32,7,13,1300.6303,16468.48
2026-03-28,26,15132,4679.0,404.66,6,5487.0,879.5267,17.08,8494.47,29053.53,60.09,2,527,445,35,7,15,1344.2767,14508.47
2026-03-29,24,14535,4288.293612964729,343.1,7,3926.0,911.5404,19.81,9125.93,34343.38,51.14000000000001,2,1491,422,25,4,8,1305.7804,14542.93
2026-03-30,26,13128,3628.0,319.04,12,9916.99,920.9497,18.69,12415.23,39372.99,76.35,3,2100,392,32,9,11,1316.3397,24432.22
2026-03-31,26,14877,3260.0,263.19,11,7683.0,714.2447,18.29,7783.03,30618.89,73.78,0,0,469,41,10,14,1051.2147,15466.029999999999
2026-04-01,26,9541,3552.243140291016,272.99,4,2776.0,834.2579,17.64,7325.92,28502.83,76.4,1,249,443,40,11,11,1183.6479,10350.92
2026-04-02,29,18632,4836.780634104542,207.63,10,3878.98,812.3539,21.16,12999.42,53722.02,47.11,1,308,369,41,11,15,1067.0938999999998,17186.4
2026-04-03,28,15441,3437.0,245.96,16,9459.98,629.3812,11.8,6594.42,26847.84,43.900000000000006,1,529,432,35,10,13,919.2412,16583.4
2026-04-04,29,14344,5140.260677466863,236.53,10,5616.0,554.3812,10.32,3773.95,17871.55,45.84,2,1078,367,28,6,7,836.7512,10467.95
2026-04-05,16,8706,2874.0,232.3,3,1511.98,426.8383,12.0,7802.38,30016.68,39.370000000000005,1,529,291,26,6,8,698.5083000000001,9843.36
2026-04-06,21,14266,5042.208494208494,263.95,10,4861.98,476.06,16.07,10933.49,40459.88,49.230000000000004,0,0,497,43,7,12,789.24,15795.47
2026-04-07,22,9373,2428.0,312.76,5,2463.0,560.4434,5.5,2811.14,12807.24,48.55,0,0,503,47,9,17,921.7533999999999,5274.139999999999
2026-04-08,32,16854,5273.0,337.68,15,5557.98,535.4878,14.01,5837.13,19798.62,55.68,3,1402,474,32,7,7,928.8477999999999,12797.11
2026-04-09,33,10628,3042.0,258.27,16,5498.99,472.1925,17.85,6331.55,26183.49,75.13,1,349,426,61,9,14,805.5925,12179.54
2026-04-10,29,12637,3491.6216216216217,250.17,12,8243.98,407.8738,15.85,7870.44,25686.44,85.61,2,428,373,32,7,17,743.6538,16542.42
2026-04-11,10,3993,942.0,206.27,0,0.0,303.4334,5.54,2138.25,13027.9,53.209999999999994,1,249,393,28,2,13,562.9134,2387.25
2026-04-12,12,4978,1703.0,187.32,5,1937.0,353.7567,9.98,3515.58,14243.95,46.69,1,769,380,44,4,19,587.7667000000001,6221.58
2026-04-13,17,10766,3420.0,195.06,6,3379.0,454.8376,10.53,7561.41,29128.68,79.69999999999999,1,958,408,37,6,12,729.5976,11898.41
2026-04-14,27,14722,3862.0,196.55,8,4440.0,497.419,18.94,8856.64,35059.92,57.769999999999996,1,2431,406,50,12,19,751.739,15727.64
2026-04-15,22,13328,3527.0,234.14,3,1058.0,442.9058,8.01,4194.45,20422.82,57.94,1,299,387,30,7,7,734.9857999999999,5551.45
2026-04-16,30,15865,4310.501352161604,203.75,2,1993.0,525.4512,13.98,6515.93,24523.79,57.9,1,419,385,41,7,14,787.1012,8927.93
2026-04-17,25,10357,2742.0,186.43,14,5451.0,560.8116,15.48,5892.72,23114.01,39.56,1,299,384,34,11,11,786.8016,11642.720000000001
2026-04-18,10,6597,1722.0,190.4,4,5892.0,659.4166,8.0,6332.02,25852.06,28.0,1,446,359,30,6,11,877.8166,12670.02
2026-04-19,26,15010,4364.0,170.32,6,3410.99,651.8347,18.05,10917.04,43326.53,33.92,1,529,338,45,7,18,856.0747,14857.03
2026-04-20,25,11497,2423.6757926422224,183.05,11,5612.98,644.5198,13.23,5724.9,26037.31,66.42,2,2275,352,47,10,13,893.9898,13612.88
2026-04-21,29,14616,4327.0,170.39,5,4743.98,664.4437,18.26,10376.8,41759.36,61.75,0,0,341,38,12,14,896.5837,15120.779999999999
2026-04-22,27,16376,4552.0,155.01,10,5603.98,834.3241,16.44,9798.23,40496.39,47.45,0,0,38,18,0,18,1036.7841,15402.21
2026-04-23,33,20018,5597.0,150.6,12,6086.0,957.8992,17.54,11030.98,46783.41,53.25,2,759,0,0,0,0,1161.7492,17875.98
2026-04-24,21,13316,3434.0,177.66,4,1175.0,802.6927,8.39,4462.84,20139.12,35.14,1,1036,0,0,0,0,1015.4926999999999,6673.84
