__date,web_orders,web_rev_gross,web_rev_refunded,web_gp,web_rev_net,bing_spend,bing_imp,bing_clicks,bing_conv,bing_rev,gmb_views,gmb_actions,gmb_phone,gmb_directions
2026-03-25,44,17648,0,5658.0,17648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,43,26254,0,8045.0,26254,84.53999999999999,8861.0,146.0,1.0,379.0,479.0,43.0,5.0,23.0
2026-03-27,39,20419,1323,5336.518395023919,19096,68.79,8977.0,139.0,1.0,964.0,443.0,32.0,7.0,13.0
2026-03-28,26,15132,0,4679.0,15132,60.09,6292.0,112.0,2.0,527.0,445.0,35.0,7.0,15.0
2026-03-29,24,14535,1079,4288.293612964729,13456,51.14000000000001,6441.0,94.0,2.0,1491.0,422.0,25.0,4.0,8.0
2026-03-30,26,13128,0,3628.0,13128,76.35,10189.0,145.0,3.0,2100.0,392.0,32.0,9.0,11.0
2026-03-31,26,14877,0,3260.0,14877,73.78,10508.0,127.0,0.0,0.0,469.0,41.0,10.0,14.0
2026-04-01,26,9541,1801,3552.243140291016,7740,76.4,9163.0,129.0,1.0,249.0,443.0,40.0,11.0,11.0
2026-04-02,29,18632,1999,4836.780634104542,16633,47.11,7013.0,91.0,1.0,308.0,369.0,41.0,11.0,15.0
2026-04-03,28,15441,0,3437.0,15441,43.900000000000006,6494.0,87.0,1.0,529.0,432.0,35.0,10.0,13.0
2026-04-04,29,14344,479,5140.260677466863,13865,45.84,6339.0,91.0,2.0,1078.0,367.0,28.0,6.0,7.0
2026-04-05,16,8706,0,2874.0,8706,39.370000000000005,6155.0,91.0,1.0,529.0,291.0,26.0,6.0,8.0
2026-04-06,21,14266,1037,5042.208494208494,13229,49.230000000000004,9104.0,109.0,0.0,0.0,497.0,43.0,7.0,12.0
2026-04-07,22,9373,0,2428.0,9373,48.55,9843.0,110.0,0.0,0.0,503.0,47.0,9.0,17.0
2026-04-08,32,16854,0,5273.0,16854,55.68,6452.0,114.0,3.0,1402.0,474.0,32.0,7.0,7.0
2026-04-09,33,10628,38,3042.0,10590,75.13,8445.0,128.0,1.0,349.0,426.0,61.0,9.0,14.0
2026-04-10,29,12637,497,3491.6216216216217,12140,85.61,12289.0,147.0,2.0,428.0,373.0,32.0,7.0,17.0
2026-04-11,10,3993,0,942.0,3993,53.209999999999994,5059.0,93.0,1.0,249.0,393.0,28.0,2.0,13.0
2026-04-12,12,4978,0,1703.0,4978,46.69,4802.0,83.0,1.0,769.0,380.0,44.0,4.0,19.0
2026-04-13,17,10766,0,3420.0,10766,79.69999999999999,8248.0,129.0,1.0,958.0,408.0,37.0,6.0,12.0
2026-04-14,27,14722,0,3862.0,14722,57.769999999999996,8806.0,94.0,1.0,2431.0,406.0,50.0,12.0,19.0
2026-04-15,22,13328,49,3527.0,13279,57.94,9463.0,108.0,1.0,299.0,387.0,30.0,7.0,7.0
2026-04-16,30,15865,629,4310.501352161604,15236,57.9,8020.0,99.0,1.0,419.0,385.0,41.0,7.0,14.0
2026-04-17,25,10357,59,2742.0,10298,39.56,6065.0,83.0,1.0,299.0,384.0,34.0,11.0,11.0
2026-04-18,10,6597,0,1722.0,6597,28.0,3798.0,55.0,1.0,446.0,359.0,30.0,6.0,11.0
2026-04-19,26,15010,0,4364.0,15010,33.92,3628.0,69.0,1.0,529.0,338.0,45.0,7.0,18.0
2026-04-20,25,11497,628,2423.6757926422224,10869,66.42,7366.0,119.0,2.0,2275.0,352.0,47.0,10.0,13.0
2026-04-21,29,14616,0,4327.0,14616,61.75,7495.0,109.0,0.0,0.0,341.0,38.0,12.0,14.0
2026-04-22,27,16376,0,4552.0,16376,47.45,6116.0,84.0,0.0,0.0,38.0,18.0,0.0,18.0
2026-04-23,33,20018,0,5597.0,20018,53.25,6825.0,100.0,2.0,759.0,0.0,0.0,0.0,0.0
2026-04-24,21,13316,0,3434.0,13316,35.14,5420.0,69.0,1.0,1036.0,0.0,0.0,0.0,0.0
