__date,cms_orders,cms_rev,cms_gp,cms_refunded,fb_spend,fb_clicks_all,fb_link_clicks,fb_purchases,fb_purchase_value,bing_spend,bing_clicks,bing_conv,bing_rev,total_paid_spend,platform_purchases_total,platform_revenue_total
2026-03-26,43,26254,8045.0,0,375.51,949,664,14,9742.0,84.53999999999999,146,1,379,460.04999999999995,15,10121.0
2026-03-27,39,20419,5336.518395023919,2,370.34,1047,676,10,4161.96,68.79,139,1,964,439.13,11,5125.96
2026-03-28,26,15132,4679.0,0,404.66,1050,710,6,5487.0,60.09,112,2,527,464.75,8,6014.0
2026-03-29,24,14535,4288.293612964729,1,343.1,1068,669,7,3926.0,51.14000000000001,94,2,1491,394.24,9,5417.0
2026-03-30,26,13128,3628.0,0,319.04,952,643,12,9916.99,76.35,145,3,2100,395.39,15,12016.99
2026-03-31,26,14877,3260.0,0,263.19,920,655,11,7683.0,73.78,127,0,0,336.97,11,7683.0
2026-04-01,26,9541,3552.243140291016,2,272.99,919,615,4,2776.0,76.4,129,1,249,349.39,5,3025.0
2026-04-02,29,18632,4836.780634104542,1,207.63,794,488,10,3878.98,47.11,91,1,308,254.74,11,4186.98
2026-04-03,28,15441,3437.0,0,245.96,789,529,16,9459.98,43.900000000000006,87,1,529,289.86,17,9988.98
2026-04-04,29,14344,5140.260677466863,1,236.53,895,580,10,5616.0,45.84,91,2,1078,282.37,12,6694.0
2026-04-05,16,8706,2874.0,0,232.3,833,551,3,1511.98,39.370000000000005,91,1,529,271.67,4,2040.98
2026-04-06,21,14266,5042.208494208494,1,263.95,875,590,10,4861.98,49.230000000000004,109,0,0,313.18,10,4861.98
2026-04-07,22,9373,2428.0,0,312.76,913,587,5,2463.0,48.55,110,0,0,361.31,5,2463.0
2026-04-08,32,16854,5273.0,0,337.68,979,671,15,5557.98,55.68,114,3,1402,393.36,18,6959.98
2026-04-09,33,10628,3042.0,1,258.27,854,575,16,5498.99,75.13,128,1,349,333.4,17,5847.99
2026-04-10,29,12637,3491.6216216216217,1,250.17,767,505,12,8243.98,85.61,147,2,428,335.78,14,8671.98
2026-04-11,10,3993,942.0,0,206.27,727,507,0,0.0,53.209999999999994,93,1,249,259.48,1,249.0
2026-04-12,12,4978,1703.0,0,187.32,721,488,5,1937.0,46.69,83,1,769,234.01,6,2706.0
2026-04-13,17,10766,3420.0,0,195.06,821,549,6,3379.0,79.69999999999999,129,1,958,274.76,7,4337.0
2026-04-14,27,14722,3862.0,0,196.55,778,500,8,4440.0,57.769999999999996,94,1,2431,254.32,9,6871.0
2026-04-15,22,13328,3527.0,1,234.14,805,522,3,1058.0,57.94,108,1,299,292.08,4,1357.0
2026-04-16,30,15865,4310.501352161604,1,203.75,773,512,2,1993.0,57.9,99,1,419,261.65,3,2412.0
2026-04-17,25,10357,2742.0,1,186.43,719,493,14,5451.0,39.56,83,1,299,225.99,15,5750.0
2026-04-18,10,6597,1722.0,0,190.4,730,503,4,5892.0,28.0,55,1,446,218.4,5,6338.0
2026-04-19,26,15010,4364.0,0,170.32,742,572,6,3410.99,33.92,69,1,529,204.24,7,3939.99
2026-04-20,25,11497,2423.6757926422224,1,183.05,617,404,11,5612.98,66.42,119,2,2275,249.47000000000003,13,7887.98
2026-04-21,29,14616,4327.0,0,170.39,703,463,5,4743.98,61.75,109,0,0,232.14,5,4743.98
2026-04-22,27,16376,4552.0,0,155.01,731,491,10,5603.98,47.45,84,0,0,202.45999999999998,10,5603.98
2026-04-23,33,20018,5597.0,0,150.6,581,362,12,6086.0,53.25,100,2,759,203.85,14,6845.0
2026-04-24,21,13316,3434.0,0,177.66,641,417,4,1175.0,35.14,69,1,1036,212.8,5,2211.0
