Brand,Condition,orders_sep,rev_sep,gp_sep,aov_sep,orders_apr,rev_apr,gp_apr,aov_apr,orders_apr_30d,rev_apr_30d,orders_delta_pct,rev_delta_pct,aov_delta_pct
iPhone,Like New,130.0,103083.0,21757.585802766753,792.9461538461538,115.0,77234.0,19827.74449245262,671.6,143.75,96542.5,10.576923076923084,-6.344887129788612,-15.303202273895788
iPhone,Grade A,105.0,70663.0,13071.81467181467,672.9809523809524,71.0,43706.0,9538.830115830116,615.5774647887324,88.75,54632.5,-15.476190476190476,-22.685846907150843,-8.529734369023533
Samsung,Like New,100.0,58898.0,15861.380362249762,588.98,63.0,37258.0,11429.0,591.3968253968254,78.75,46572.5,-21.250000000000004,-20.926856599544973,0.41034082597464216
Samsung,Grade A,114.0,52456.0,12187.29411764706,460.140350877193,41.0,22550.0,8438.0,550.0,51.25,28187.5,-55.04385964912281,-46.26448833307916,19.52874790300443
iPad,Grade A,112.0,45441.0,14860.277360066833,405.7232142857143,55.0,19569.0,7589.0,355.8,68.75,24461.25,-38.61607142857143,-46.16920842411039,-12.304746814550727
iPad,Like New,48.0,29033.0,9093.730486008837,604.8541666666666,16.0,9361.0,2895.260677466863,585.0625,20.0,11701.25,-58.33333333333333,-59.69672441704268,-3.272138600902419
Google Pixel,Grade A,51.0,15434.0,1773.2742029084454,302.62745098039215,20.0,12727.0,3615.0,636.35,25.0,15908.75,-50.98039215686274,3.076001036672271,110.27504211481146
MacBook,Grade A,14.0,14283.0,4544.0,1020.2142857142857,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,-100.0
iPhone,Brand New,8.0,13591.0,2966.0986341283697,1698.875,5.0,6411.0,1617.0,1282.2,6.25,8013.75,-21.875,-41.03634758295931,-24.52652490618792
Apple Watch,Grade A,40.0,10357.0,2642.0018271180866,258.925,21.0,6523.0,1788.0,310.6190476190476,26.25,8153.75,-34.375,-21.273052042097127,19.96487307870911
iPad,Open Box,8.0,9799.0,2678.720338983051,1224.875,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,-100.0
iPhone,Unknown,208.0,9000.0,4986.0,43.26923076923077,12.0,472.0,238.0,39.333333333333336,15.0,590.0,-92.78846153846155,-93.44444444444444,-9.09629629629628
iPad,Grade B,22.0,8956.0,1918.4254972951228,407.09090909090907,16.0,6419.0,1970.0,401.1875,20.0,8023.75,-9.090909090909093,-10.409222867351497,-1.450145154086635
Google Pixel,Like New,23.0,8931.0,2764.917147384128,388.30434782608694,20.0,10296.0,2858.0,514.8,25.0,12870.0,8.695652173913038,44.104803493449786,32.576419213973786
iPhone,Open Box,8.0,8592.0,2616.0,1074.0,9.0,12323.0,1456.7806341045416,1369.2222222222222,11.25,15403.75,40.625,79.28014432029795,27.488102627767418
Samsung,Grade B,22.0,8029.0,2420.6731301939058,364.95454545454544,9.0,4211.0,1530.0,467.8888888888889,11.25,5263.75,-48.86363636363637,-34.440777182712665,28.20470239825079
iPhone,Grade B,16.0,7618.0,1564.148655628959,476.125,6.0,3208.0,885.0,534.6666666666666,7.5,4010.0,-53.125,-47.36151220792859,12.295440623085675
Samsung,Brand New,13.0,6808.0,2313.7293857221916,523.6923076923077,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,-100.0
Apple Watch,Like New,20.0,6164.0,2684.125,308.2,6.0,3445.0,1177.0,574.1666666666666,7.5,4306.25,-62.5,-30.138708630759247,86.296776984642
Samsung,Open Box,8.0,5772.0,1548.0,721.5,9.0,6455.0,1700.6757926422226,717.2222222222222,11.25,8068.75,40.625,39.79123354123355,-0.5929005929006026
Samsung,Unknown,155.0,5569.0,3115.0,35.92903225806452,47.0,1582.0,818.0,33.659574468085104,58.75,1977.5,-62.096774193548384,-64.49093194469384,-6.316501300894394
MacBook,Like New,5.0,5159.0,1377.0,1031.8,1.0,652.0,266.0,652.0,1.25,815.0,-75.0,-84.20236479937972,-36.809459197518905
