Brand,orders_sep,rev_sep,gp_sep,aov_sep,margin_sep,orders_apr,rev_apr,gp_apr,aov_apr,margin_apr,orders_apr_30d,rev_apr_30d,gp_apr_30d,orders_delta_pct,rev_delta_pct,gp_delta_pct,aov_delta_pct
iPhone,475,212547,46961.647764338755,447.46736842105264,22.09471211747931,218.0,143354.0,33563.355242387275,657.5871559633027,23.41291853899248,272.5,179192.5,41954.194052984094,-42.63157894736842,-15.6927644238686,-10.662857778080713,46.957566600596
Samsung,412,137532,37446.07699581292,333.81553398058253,27.227174036451817,169.0,72056.0,23915.67579264222,426.36686390532543,33.19040162185276,211.25,90070.0,29894.594740802775,-48.72572815533981,-34.509786813250734,-20.16628405655022,27.725291516879036
iPad,227,97567,30054.153682353844,429.8105726872247,30.803605401779134,87.0,35349.0,12454.260677466864,406.3103448275862,35.23228571520231,108.75,44186.25,15567.825846833579,-52.092511013215855,-54.71189029077455,-48.200751179447934,-5.467577894306408
Google Pixel,89,30801,6634.838586110202,346.07865168539325,21.540984338528627,42.0,25409.0,8205.0,604.9761904761905,32.291707662639226,52.5,31761.25,10256.25,-41.01123595505618,3.117593584623868,54.58175608779832,74.80887293393381
Apple Watch,83,21402,6508.903961785897,257.855421686747,30.412596775001855,29.0,10614.0,3089.0,366.0,29.103071415112115,36.25,13267.5,3861.25,-56.325301204819276,-38.00813008130082,-40.677416310494166,41.94000560695264
MacBook,21,20700,6536.0,985.7142857142857,31.574879227053138,2.0,1951.0,626.0,975.5,32.08610968733983,2.5,2438.75,782.5,-88.09523809523809,-88.21859903381643,-88.02784577723378,-1.0362318840579698
Other,42,12346,4681.2376328099845,293.95238095238096,37.91703898274733,17.0,4846.0,2132.0,285.05882352941177,43.995047461824186,21.25,6057.5,2665.0,-49.404761904761905,-50.93552567633242,-43.07061061541768,-3.0255095720452485
Motorola,14,10143,2904.0,724.5,28.630582667849747,4.0,3050.0,1034.0,762.5,33.9016393442623,5.0,3812.5,1292.5,-64.28571428571428,-62.412501232377004,-55.49242424242424,5.244996549344383
Xiaomi,11,5964,2759.3710017069943,542.1818181818181,46.26711941158609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0
OPPO,18,5530,2468.746170678337,307.22222222222223,44.64278789653412,8.0,3039.0,721.0,379.875,23.72490950970714,10.0,3798.75,901.25,-44.44444444444444,-31.30650994575045,-63.49361426037721,23.648282097649176
AirPods,18,3663,939.0,203.5,25.634725634725637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0
OnePlus,3,1390,431.42076502732243,463.3333333333333,31.037465109879314,3.0,2193.0,303.0,731.0,13.81668946648427,3.75,2741.25,378.75,25.0,97.21223021582735,-12.208676377454086,57.76978417266187
Huawei,3,496,161.0,165.33333333333334,32.45967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0
Case/Cover,3,176,85.0,58.666666666666664,48.29545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0
